agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,enacted_page,enacted_line,estimated_exec_page,estimated_exec_line,anchor_method,predecessor_approp_id,predecessor_exec_page,predecessor_exec_line,successor_approp_id,successor_exec_page,successor_exec_line
DEPARTMENT OF ECONOMIC DEVELOPMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21685,2020,5000000,167000,"41 For services and expenses, loans, and grants, related to the operation
42 of New York state innovation hot spots and New York state incuba-
43 tors. All or portions of the funds appropriated hereby may be subal-
44 located or transferred to any department, agency, or public authori-
45 ty (21685) ... 5,000,000 ............................ (re. $167,000)",244,41.0,180,46.0,both,21438,180.0,33.0,21426,180.0,46.0
DEPARTMENT OF ECONOMIC DEVELOPMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21427,2019,9595663,136000,"46 By chapter 53, section 1, of the laws of 2019:
47 For services and expenses related to the operation of the centers of
48 excellence pursuant to a plan approved by the director of the budg-
49 et. All or portions of the funds appropriated hereby may be suballo-
50 cated or transferred to any department, agency, or public authority
51 (21427) ... 9,595,663 ............................... (re. $136,000)",244,46.0,180,46.0,both,21438,180.0,33.0,21426,180.0,46.0
DEPARTMENT OF ECONOMIC DEVELOPMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21677,2019,2704337,437000,"AB
245 12553-09-5
DEPARTMENT OF ECONOMIC DEVELOPMENT
AID TO LOCALITIES - REAPPROPRIATIONS 2025-26
1 Project Schedule
2 PROJECT AMOUNT
3 --------------------------------------------
4 For services and expenses
5 related to the operation of
6 the Buffalo center of excel-
7 lence in bioinformatics and
8 life sciences .................... 872,333
9 For services and expenses
10 related to the operation of
11 the Syracuse center of
12 excellence in environmental
13 and energy systems ............... 872,333
14 For services and expenses
15 related to the operation of
16 the Albany center of excel-
17 lence in nanoelectronics ......... 872,333
18 For services and expenses
19 related to the operation of
20 the Stony Brook center of
21 excellence in wireless and
22 information technology ........... 872,333
23 For services and expenses
24 related to the operation of
25 the Binghamton center of
26 excellence in small scale
27 systems integration and
28 packaging ........................ 872,333
29 For services and expenses
30 related to the operation of
31 the Stony Brook center of
32 excellence in advanced ener-
33 gy research ...................... 872,333
34 For services and expenses
35 related to the operation of
36 the Buffalo center of excel-
37 lence in materials informat-
38 ics .............................. 872,333
39 For services and expenses
40 related to the operation of
41 the Rochester center of
42 excellence in sustainable
43 manufacturing .................... 872,333
44 For services and expenses
45 related to the operation of
46 the Rochester center of
47 excellence in data science ....... 872,333
48 For services and expenses
49 related to the operation of
50 the Rensselaer Polytechnic
51 Institute, Rochester Insti-
52 tute of Technology, and New
AB
246 12553-09-5
DEPARTMENT OF ECONOMIC DEVELOPMENT
AID TO LOCALITIES - REAPPROPRIATIONS 2025-26
1 York University centers of
2 excellence in Digital Game
3 Development ...................... 872,333
4 For services and expenses
5 related to the operation
6 of the Cornell University's
7 center of excellence in Food
8 and Agriculture Innovation
9 in Geneva, New York .............. 872,333
10 --------------
11 Total .......................... 9,595,663
12 ==============
13 For additional services and expenses related to the operation of the
14 centers of excellence pursuant to a plan approved by the director of
15 the budget (21677) ... 2,704,337 .................... (re. $437,000)",246,1.0,180,46.0,both,21438,180.0,33.0,21426,180.0,46.0
DEPARTMENT OF ECONOMIC DEVELOPMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21678,2019,591000,122000,"5 For additional services and expenses related to the following: centers
6 for advanced technology, for matching grants to designated centers
7 for advanced technology, pursuant to subdivision 3 of section 3102-b
8 of the public authorities law. Notwithstanding any provision of law
9 to the contrary, funds may also be used for initiatives related to
10 the operation and development of the centers of excellence or other
11 high technology centers (21678) ... 591,000 ......... (re. $122,000)",248,5.0,180,46.0,both,21438,180.0,33.0,21426,180.0,46.0
DEPARTMENT OF ECONOMIC DEVELOPMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21434,2019,3006000,1503000,"12 For services and expenses related to the operation of the SUNY Poly-
13 technic Institute Colleges of Nanoscale Science and Engineering
14 focus center and Rensselaer Polytechnic Institute focus center. No
15 funds shall be expended from this appropriation until the director
16 of the budget has approved a spending plan (21434) .................
17 3,006,000 ......................................... (re. $1,503,000)",248,12.0,180,46.0,both,21438,180.0,33.0,21426,180.0,46.0
DEPARTMENT OF ECONOMIC DEVELOPMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21685,2019,5000000,313000,"30 For services and expenses, loans, and grants, related to the operation
31 of New York state innovation hot spots and New York state incuba-
32 tors. All or portions of the funds appropriated hereby may be subal-
33 located or transferred to any department, agency, or public authori-
34 ty (21685) ... 5,000,000 ............................ (re. $313,000)",248,30.0,181,8.0,both,21438,181.0,56.0,21677,181.0,8.0
DEPARTMENT OF ECONOMIC DEVELOPMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21441,2018,1382000,109000,"39 Project Schedule
40 PROJECT AMOUNT
41 --------------------------------------------
42 For services and expenses
43 related to the operation of
44 the Buffalo center of excel-
45 lence in bioinformatics and
46 life sciences .................... 127,667
47 For services and expenses
48 related to the operation of
49 Cornell University's center
50 of excellence in Food and
AB
249 12553-09-5
DEPARTMENT OF ECONOMIC DEVELOPMENT
AID TO LOCALITIES - REAPPROPRIATIONS 2025-26
1 Agriculture Innovation in
2 Geneva, New York ................. 127,667
3 For services and expenses
4 related to the operation of
5 the Syracuse center of
6 excellence in environmental
7 and energy systems ............... 127,667
8 For services and expenses
9 related to the operation of
10 the Albany center of excel-
11 lence in nanoelectronics ......... 127,667
12 For services and expenses
13 related to the operation of
14 the Stony Brook center of
15 excellence in wireless and
16 information technology ........... 127,667
17 For services and expenses
18 related to the operation of
19 the Binghamton center of
20 excellence in small scale
21 systems integration and
22 packaging ........................ 127,667
23 For services and expenses
24 related to the operation of
25 the Stony Brook center of
26 excellence in advanced ener-
27 gy research ...................... 127,667
28 For services and expenses
29 related to the operation of
30 the Buffalo center of excel-
31 lence in materials informat-
32 ics .............................. 127,667
33 For services and expenses
34 related to the operation of
35 the Rochester center of
36 excellence in sustainable
37 manufacturing .................... 127,667
38 For services and expenses
39 related to the operation of
40 the Rochester center of
41 excellence in data science ....... 127,667
42 For services and expenses
43 related to the operation of
44 the Albany center of excel-
45 lence in data science in
46 atmospheric and environ-
47 mental prediction and inno-
48 vation ........................... 250,000
49 For services and expenses
50 related to New York Medical
51 College to operate a Center
52 of Excellence in Precision
AB
250 12553-09-5
DEPARTMENT OF ECONOMIC DEVELOPMENT
AID TO LOCALITIES - REAPPROPRIATIONS 2025-26
1 Responses to Bioterrorism
2 and Disaster ..................... 750,000
3 --------------
4 Total ........................ 2,276,670
5 ==============
6 Technology development organization matching grants, to be awarded on
7 a competitive basis in accordance with the provisions of section
8 3102-d of the public authorities law. Notwithstanding any inconsist-
9 ent provision of law, the director of the budget may suballocate up
10 to the full amount of this appropriation to any department, agency
11 or authority. No funds shall be expended from this appropriation
12 until the director of the budget has approved a spending plan
13 (21441) ... 1,382,000 ............................... (re. $109,000)",250,39.0,182,38.0,both,21651,182.0,34.0,21662,182.0,38.0
DEPARTMENT OF ECONOMIC DEVELOPMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21438,2017,6000000,58000,"29 By chapter 53, section 1, of the laws of 2017:
30 High technology matching grants program, including the security
31 through advanced research and technology (START) initiative to
32 leverage resources from federal or private sources including but not
33 limited to the national science foundation, businesses, industry
34 consortiums, foundations, and other organizations for efforts asso-
35 ciated with high technology economic development, including the
36 payment of liabilities incurred prior to April 1, 2017. All or
37 portions of the funds appropriated hereby may be suballocated or
38 transferred to any department, agency, or public authority. No funds
39 shall be expended from this appropriation until the director of the
40 budget has approved a spending plan (21438) ........................
41 6,000,000 ............................................ (re. $58,000)",250,29.0,182,38.0,both,21651,182.0,34.0,21662,182.0,38.0
DEPARTMENT OF ECONOMIC DEVELOPMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21678,2015,500000,72000,"1 By chapter 53, section 1, of the laws of 2015:
2 For additional services and expenses of the centers for advanced tech-
3 nology (21678) ... 500,000 ........................... (re. $72,000)",251,1.0,182,46.0,both,21400,182.0,41.0,21679,182.0,46.0
DEPARTMENT OF ECONOMIC DEVELOPMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21652,2018,3000000,500000,"30 By chapter 53, section 1, of the laws of 2018:
31 For services and expenses of the Broome County Community Charities
32 related to the 2018 professional golf tournament in Broome County.
33 Funds from this appropriation shall be made available on an annual
34 basis pursuant to a multi-year plan subject to annual approval by
35 the director of the division of the budget (21652) .................
36 3,000,000 ........................................... (re. $500,000)",253,30.0,184,16.0,both,21417,184.0,55.0,21672,184.0,16.0
DEPARTMENT OF ECONOMIC DEVELOPMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,42024,2008,314000,217000,"42 By chapter 55, section 1, of the laws of 2008, as transferred by chapter
43 53, section 1, of the laws of 2011:
44 Syracuse university sensing, analyzing, interpreting and deciding
45 center - SAID. No funds shall be expended from this appropriation
46 until the director of the budget has approved a spending plan
AB
252 12553-09-5
DEPARTMENT OF ECONOMIC DEVELOPMENT
AID TO LOCALITIES - REAPPROPRIATIONS 2025-26
1 submitted by the foundation for science, technology and innovation
2 in such detail as the director of the budget may require (42024) ...
3 314,000 ............................................. (re. $217,000)",252,42.0,184,33.0,both,21417,184.0,12.0,21417,184.0,33.0
DEPARTMENT OF ECONOMIC DEVELOPMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21282,2021,1000000,500000,"32 For additional grants of a local tourism promotion matching grants
33 program pursuant to article 5-A of the economic development law
34 (21282) ... 1,000,000 ............................... (re. $500,000)",252,32.0,184,33.0,both,21417,184.0,12.0,21417,184.0,33.0
DEPARTMENT OF ECONOMIC DEVELOPMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,81027,2020,343000,262000,"19 By chapter 53, section 1, of the laws of 2020:
20 For the science and technology law center program (81027) ............
21 343,000 ............................................. (re. $262,000)",254,19.0,185,42.0,both,81027,185.0,38.0,81027,185.0,42.0
DEPARTMENT OF ECONOMIC DEVELOPMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Manufacturing Extension Partnership Program Account - 25517,81053,2020,1470000,1000,"33 By chapter 53, section 1, of the laws of 2020:
34 For services and expenses of state matching funds for the federal
35 manufacturing extension partnership program.
36 Notwithstanding any inconsistent provision of law, the director of the
37 budget may suballocate up to the full amount of this appropriation
38 to any department, agency or authority. No funds shall be expended
39 from this appropriation until the director of the budget has
40 approved a spending plan (81053) ... 1,470,000 ........ (re. $1,000)",257,33.0,188,47.0,both,81053,188.0,22.0,81052,188.0,47.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,23462,2025,750000,0,"22 For additional services and expenses of 23 independent living centers (23462) ............. 750,000",264,23.0,229,13.0,both,21856,229.0,11.0,21854,229.0,13.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Operating Grants Account - 25456,21700,2025,20000000,0,"20 -------------- 21 Program account subtotal ............... 2,089,100,000 22 -------------- 23 Special Revenue Funds - Other 24 Charter School Stimulus Fund 25 Charter School Stimulus Account - 20601 26 For services and expenses related to devel- 27 opment, implementation and operation of 28 charter schools, including facility costs 29 and loans to authorized schools, and 30 including funds available for transfer for 31 the administrative/technical support 32 services provided by the charter school 33 institute of the state university of New 34 York. This appropriation shall only be 35 available for expenditure upon the 36 approval of an expenditure plan by the 37 director of the budget (21700) .............. 20,000,000",312,37.0,229,33.0,both,21703,300.0,30.0,21713,229.0,33.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,Mobile Sports Wagering Account - 24955,55926,2025,120000,0,"313 12553-09-5 EDUCATION DEPARTMENT AID TO LOCALITIES 2025-26 1 section 99-u of the state finance law 2 (55926) ........................................ 120,000",313,2.0,229,33.0,both,21703,300.0,30.0,21713,229.0,33.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,Mobile Sports Wagering Account - 24955,23367,2025,1457339000,0,"3 -------------- 4 Program account subtotal ..................... 120,000 5 -------------- 6 Special Revenue Funds - Other 7 Mobile Sports Wagering Fund 8 Mobile Sports Wagering Account - 24955 9 For general support for public schools for 10 the 2025-26 school year pursuant to 11 section 1367 of the racing, pari-mutuel 12 wagering and breeding law and section 92-c 13 of the state finance law (23367) ......... 1,457,339,000",313,13.0,229,33.0,both,21703,300.0,30.0,21713,229.0,33.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,Mobile Sports Wagering Account - 24955,56140,2025,134682000,0,"14 -------------- 15 Program account subtotal ............... 1,457,339,000 16 -------------- 17 Special Revenue Funds - Other 18 NYS Commercial Gaming Fund 19 Commercial Gaming Revenue Account - 23701 20 For general support for public schools for 21 the 2025-26 school year pursuant to para- 22 graph b of subdivision 5 of section 23 97-nnnn of the state finance law (56140) ... 134,682,000",313,23.0,229,33.0,both,21703,300.0,30.0,21713,229.0,33.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,Mobile Sports Wagering Account - 24955,21735,2025,2351099000,0,"24 -------------- 25 Program account subtotal ................. 134,682,000 26 -------------- 27 Special Revenue Funds - Other 28 State Lottery Fund 29 State Lottery Account - 20901 30 For general support for public schools for 31 the 2025-26 school year, provided that, 32 notwithstanding any other provision of law 33 to the contrary, in computing the addi- 34 tional lottery grant pursuant to subpara- 35 graph (4) of paragraph b of subdivision 4 36 of section 92-c of the state finance law 37 for the 2025-26 school year, the base 38 grant shall not exceed $2,351,099,000 39 (21735) .................................. 2,351,099,000",313,39.0,229,33.0,both,21703,300.0,30.0,21713,229.0,33.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,Mobile Sports Wagering Account - 24955,23460,2025,20000,0,"40 For allowances to private schools for the 41 blind and deaf for the 2025-26 school year 42 (23460) ......................................... 20,000",313,42.0,229,33.0,both,21703,300.0,30.0,21713,229.0,33.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,Mobile Sports Wagering Account - 24955,23495,2025,240000000,0,"43 For general support for public schools, for 44 the June 2024-25 school year payment 45 (23495) .................................... 240,000,000",313,45.0,229,33.0,both,21703,300.0,30.0,21713,229.0,33.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,VLT Education Account - 20904,23494,2025,1131000000,0,"314 12553-09-5 EDUCATION DEPARTMENT AID TO LOCALITIES 2025-26 1 Program account subtotal ............... 2,591,119,000 2 -------------- 3 Special Revenue Funds - Other 4 State Lottery Fund 5 VLT Education Account - 20904 6 For general support for public schools for 7 the 2025-26 school year pursuant to 8 subparagraph (2-a) of paragraph b of 9 subdivision 4 of section 92-c of the state 10 finance law (23494) ...................... 1,131,000,000",314,10.0,229,33.0,both,21703,300.0,30.0,21713,229.0,33.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,VLT Education Account - 20904,21709,2025,1396911000,0,"11 -------------- 12 Program account subtotal ............... 1,131,000,000 13 -------------- 14 SCHOOL TAX RELIEF PROGRAM ................................ 1,396,911,000 15 -------------- 16 Special Revenue Funds - Other 17 School Tax Relief Fund 18 School Tax Relief Account - 20551 19 For payments to local governments relating 20 to the school tax relief (STAR) program 21 including state aid pursuant to section 22 1306-a of the real property tax law. Up to 23 $5,000,000 of the funds appropriated here- 24 by may be suballocated or transferred to 25 the department of taxation and finance for 26 the purpose of making direct payments to 27 certain property owners from the account 28 established pursuant to subparagraph (iii) 29 of paragraph (a) of subdivision 14 of 30 section 425 of the real property tax law 31 (21709) .................................. 1,396,911,000",314,31.0,229,33.0,both,21703,300.0,30.0,21713,229.0,33.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,23462,2024,750000,750000,"11 For additional services and expenses of independent living centers
12 (23462) ... 750,000 ................................. (re. $750,000)",315,11.0,229,40.0,both,21856,229.0,38.0,21854,229.0,40.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,23410,2022,7793000,3000,"24 For competitive grants for adult literacy/education aid to public and
25 private not-for-profit agencies, including but not limited to, 2 and
26 4 year colleges, community based organizations, libraries, and
27 volunteer literacy organizations and institutions which meet quality
28 standards promulgated by the commissioner of education to provide
29 programs of basic literacy, high school equivalency, and English as
30 a second language to persons 16 years of age or older (23410) ......
31 7,793,000 ............................................. (re. $3,000)",316,24.0,230,41.0,both,23411,230.0,36.0,23411,230.0,41.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21713,2021,54000000,70000,"32 By chapter 53, section 1, of the laws of 2021, as amended by chapter 53,
33 section 1, of the laws of 2024:
34 For case services provided on or after October 1, 2019 to disabled
35 individuals in accordance with economic eligibility criteria devel-
36 oped by the department (21713) .....................................
37 54,000,000 ........................................... (re. $70,000)",316,32.0,230,41.0,both,23411,230.0,36.0,23411,230.0,41.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,56145,2025,500000,0,"5 For additional competitive grants for adult 6 literacy/education aid (56145) ................. 500,000",265,6.0,230,52.0,both,23410,229.0,24.0,21713,230.0,52.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,23411,2020,1843000,159000,"42 By chapter 53, section 1, of the laws of 2020, as amended by chapter 53,
43 section 1, of the laws of 2024:
44 For grants to schools for programs involving literacy and basic educa-
45 tion for public assistance recipients for the 2020-21 school year
46 for those programs administered by the state education department
47 (23411) ... 1,843,000 ............................... (re. $159,000)",316,42.0,231,2.0,both,23411,230.0,41.0,21713,231.0,2.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23411,2019,1843000,10000,"1 By chapter 53, section 1, of the laws of 2019, as amended by chapter 53,
2 section 1, of the laws of 2024:
3 For grants to schools for programs involving literacy and basic educa-
4 tion for public assistance recipients for the 2019-20 school year
5 for those programs administered by the state education department
6 (23411) ... 1,843,000 ................................ (re. $10,000)",317,1.0,231,2.0,both,23411,230.0,41.0,21713,231.0,2.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23411,2018,1843000,24000,"7 By chapter 53, section 1, of the laws of 2018, as added by chapter 54,
8 section 2, of the laws of 2018:
9 For grants to schools for programs involving literacy and basic educa-
10 tion for public assistance recipients for the 2018-19 school year
11 for those programs administered by the state education department
12 (23411) ... 1,843,000 ................................ (re. $24,000)",317,7.0,231,2.0,both,23411,230.0,41.0,21713,231.0,2.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21713,2023,70000000,62690000,"26 By chapter 53, section 1, of the laws of 2023:
27 For case services provided to individuals with disabilities (21713)
28 ... 70,000,000 ................................... (re. $62,690,000)",317,26.0,231,13.0,both,21734,231.0,9.0,21734,231.0,13.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21856,2023,2572000,2558000,"29 For the independent living program (21856) ...........................
30 2,572,000 ......................................... (re. $2,558,000)",317,29.0,231,13.0,both,21734,231.0,9.0,21734,231.0,13.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21741,2023,2500000,1675000,"31 For the supported employment program (21741) .........................
32 2,500,000 ......................................... (re. $1,675,000)",317,31.0,231,13.0,both,21734,231.0,9.0,21734,231.0,13.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21713,2022,70000000,47649000,"36 By chapter 53, section 1, of the laws of 2022:
37 For case services provided to individuals with disabilities (21713)
38 ... 70,000,000 ................................... (re. $47,649,000)",317,36.0,231,26.0,both,21734,231.0,13.0,21852,231.0,26.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21856,2022,2572000,2309000,"39 For the independent living program (21856) ...........................
40 2,572,000 ......................................... (re. $2,309,000)",317,39.0,231,26.0,both,21734,231.0,13.0,21852,231.0,26.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21741,2022,2500000,1487000,"41 For the supported employment program (21741) .........................
42 2,500,000 ......................................... (re. $1,487,000)",317,41.0,231,26.0,both,21734,231.0,13.0,21852,231.0,26.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21734,2022,48704000,8673000,"43 For grants to schools and other eligible entities for adult basic
44 education, literacy, and civics education pursuant to the workforce
45 investment act (21734) ... 48,704,000 ............. (re. $8,673,000)",317,43.0,231,26.0,both,21734,231.0,13.0,21852,231.0,26.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,VESID Social Security Account - 22001,21734,2021,48704000,7501000,"3 For grants to schools and other eligible entities for adult basic
4 education, literacy, and civics education pursuant to the workforce
5 investment act (21734) ... 48,704,000 ............. (re. $7,501,000)",318,3.0,231,26.0,both,21734,231.0,13.0,21852,231.0,26.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,VESID Social Security Account - 22001,21852,2020,11760000,5376000,"21 By chapter 53, section 1, of the laws of 2020:
22 For the rehabilitation of social security disability beneficiaries
23 (21852) ... 11,760,000 ............................ (re. $5,376,000)",318,21.0,231,50.0,both,21852,231.0,38.0,21852,231.0,50.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,VESID Social Security Account - 22001,21852,2019,11760000,11760000,"24 By chapter 53, section 1, of the laws of 2019:
25 For the rehabilitation of social security disability beneficiaries
26 (21852) ... 11,760,000 ........................... (re. $11,760,000)",318,24.0,231,50.0,both,21852,231.0,38.0,21852,231.0,50.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21847,2025,1725000,0,"12 For additional aid to public libraries 13 (21847) ...................................... 1,725,000",266,13.0,232,17.0,both,21846,232.0,10.0,55912,232.0,17.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,VESID Social Security Account - 22001,21713,2021,70000000,56074000,"46 By chapter 53, section 1, of the laws of 2021:
AB
318 12553-09-5
EDUCATION DEPARTMENT
AID TO LOCALITIES - REAPPROPRIATIONS 2025-26
1 For case services provided to individuals with disabilities (21713)
2 ... 70,000,000 ................................... (re. $56,074,000)",318,46.0,232,32.0,both,21852,231.0,58.0,21846,232.0,32.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21852,2020,698000,694000,"3 By chapter 53, section 1, of the laws of 2020:
4 For services and expenses of the special workers' compensation program
5 (21852) ... 698,000 ................................. (re. $694,000)",319,3.0,232,32.0,both,21852,231.0,58.0,21846,232.0,32.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21852,2019,698000,696000,"6 By chapter 53, section 1, of the laws of 2019:
7 For services and expenses of the special workers' compensation program
8 (21852) ... 698,000 ................................. (re. $696,000)",319,6.0,232,32.0,both,21852,231.0,58.0,21846,232.0,32.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,57010,2024,125000,125000,"21 For additional services and expenses of the Schomburg Center for
22 Research in Black Culture (57010) ... 125,000 ....... (re. $125,000)",319,21.0,232,41.0,both,55912,232.0,39.0,55942,232.0,41.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,57013,2024,55000,55000,"26 For additional services and expenses of the Langston Hughes Community
27 Library and Cultural Center of Queens Library (57013) ..............
28 55,000 ............................................... (re. $55,000)",319,26.0,232,44.0,both,55942,232.0,41.0,57014,232.0,44.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21848,2024,14027000,1403000,"29 Aid to educational television and radio. Notwithstanding any provision
30 of law, rule or regulation to the contrary, the amount appropriated
31 herein shall represent fulfillment of the state's obligation for
32 this program (21848) ... 14,027,000 ............... (re. $1,403,000)",319,29.0,232,44.0,both,55942,232.0,41.0,57014,232.0,44.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Operating Grants Account - 25456,55912,2023,375000,375000,"5 For services and expenses of the Schomburg Center for Research in
6 Black Culture (55912) ... 375,000 ................... (re. $375,000)",320,5.0,232,56.0,both,21852,232.0,1.0,55942,232.0,56.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Operating Grants Account - 25456,55942,2023,112500,112500,"7 For services and expenses of the Langston Hughes Community Library and
8 Cultural Center of Queens Library (55942) ..........................
9 112,500 ............................................. (re. $112,500)",320,7.0,232,56.0,both,21852,232.0,1.0,55942,232.0,56.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Operating Grants Account - 25456,21846,2022,96127000,54000,"10 By chapter 53, section 1, of the laws of 2022:
11 Aid to public libraries including aid to New York public library
12 (NYPL) and NYPL's science industry and business library. Provided
13 that, notwithstanding any provision of law, rule or regulation to
14 the contrary, such aid, and the state's liability therefor, shall
15 represent fulfillment of the state's obligation for this program
16 (21846) ... 96,127,000 ............................... (re. $54,000)",320,10.0,232,56.0,both,21852,232.0,1.0,55942,232.0,56.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Operating Grants Account - 25456,55912,2022,375000,375000,"17 For services and expenses of the Schomburg Center for Research in
18 Black Culture (55912) ... 375,000 ................... (re. $375,000)",320,17.0,232,56.0,both,21852,232.0,1.0,55942,232.0,56.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Operating Grants Account - 25456,23373,2025,100000,0,"20 -------------- 21 Program account subtotal ................... 5,400,000 22 -------------- 23 Special Revenue Funds - Other 24 Miscellaneous Special Revenue Fund 25 Love Your Library Account - 22119 26 For services and expenses of the statewide 27 summer reading program pursuant to subdi- 28 vision 9 of section 273 of the education 29 law and section 99-l of the state finance 30 law, as added by chapter 303 of the laws 31 of 2004, pursuant to a plan developed by 32 the commissioner of education and approved 33 by the director of the budget (23373) .......... 100,000",267,33.0,233,24.0,both,21851,233.0,5.0,21849,233.0,24.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Operating Grants Account - 25456,21846,2023,96127000,232000,"44 By chapter 53, section 1, of the laws of 2023:
45 Aid to public libraries including aid to New York public library
46 (NYPL) and NYPL's science industry and business library. Provided
AB
320 12553-09-5
EDUCATION DEPARTMENT
AID TO LOCALITIES - REAPPROPRIATIONS 2025-26
1 that, notwithstanding any provision of law, rule or regulation to
2 the contrary, such aid, and the state's liability therefor, shall
3 represent fulfillment of the state's obligation for this program
4 (21846) ... 96,127,000 .............................. (re. $232,000)",320,44.0,233,33.0,both,21851,233.0,15.0,21849,233.0,33.0
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Operating Grants Account - 25456,21851,2022,5400000,3611000,"35 By chapter 53, section 1, of the laws of 2022:
36 For aid to public libraries pursuant to various federal laws including
37 the library services technology act (21851) ........................
38 5,400,000 ......................................... (re. $3,611,000)",320,35.0,233,33.0,both,21851,233.0,15.0,21849,233.0,33.0
