agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15435,2025,55541000,0,"22 For additional services and expenses related 23 to the expansion of nursing programs. A 24 portion of the funds herein appropriated 25 may be transferred to the general fund-lo- 26 cal assistance account of the city univer- 27 sity of New York to accomplish the 28 purposes of this appropriation, in accord- 29 ance with a plan approved by the director 30 of the budget ................................ 1,000,000 31 For services and expenses of senior colleges 32 to be distributed in accordance with 33 general fund operating support pursuant to 34 paragraph (f) of subdivision 7 of section 35 6206 of the education law (15435) ........... 55,541,000",69,35,2025-26,STOPS 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15435|2025|55541000
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15448,2025,265000000,0,"39 For services and expenses of the Center for 40 Byzantine and Modern Greek Studies at 41 Queens College ................................. 300,000 42 For additional operating assistance at 43 senior colleges, provided that such funds 44 shall be allocated pursuant to a plan 45 approved by the director of the budget 46 (15448) .................................... 265,000,000",69,46,2025-26,STOPS 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15448|2025|265000000
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15489,2025,1063326000,0,"31 For expenses of fringe benefits including 32 social security payments (15489) ......... 1,063,326,000",70,32,2025-26,STOPS 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15489|2025|1063326000
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15408,2025,192200000,0,"73 12550-10-5 CITY UNIVERSITY OF NEW YORK STATE OPERATIONS 2025-26 1 that such sale proceeds used to support 2 senior college expenses shall reduce the 3 state's net operating expense liability 4 pursuant to paragraphs 3 and 4 of subdivi- 5 sion A of section 6221 of the education 6 law in an equal amount during the 2025-26 7 academic year ............................ 2,068,836,400 8 -------------- 9 Enterprise Funds 10 CUNY Senior College Operating Fund 11 CUNY Senior College Operating Account - 60851 12 Notwithstanding paragraphs 3 and 4 of subdi- 13 vision A of section 6221 of the education 14 law, the amount appropriated herein shall 15 be made available for services and 16 expenses of senior college operations 17 during the 2024-25 academic year, provided 18 further that such appropriation shall in 19 no way increase the net operating expense 20 liability of the state (15408) ............. 192,200,000",73,20,2025-26,STOPS 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15408|2025|192200000
MISCELLANEOUS -- ALL STATE DEPARTMENTS AND AGENCIES,STATE OPERATIONS,General Fund,State Purposes Account - 10050,85022,2025,11397667000,0,"828 12550-10-5 MISCELLANEOUS -- ALL STATE DEPARTMENTS AND AGENCIES GENERAL STATE CHARGES STATE OPERATIONS 2025-26 1 For payment according to the following schedule: 2 APPROPRIATIONS REAPPROPRIATIONS 3 General Fund ....................... 8,415,576,000 0 4 Fiduciary Funds .................... 400,500,000 0 5 ---------------- ---------------- 6 All Funds ........................ 8,816,076,000 0 7 ================ ================ 8 SCHEDULE 9 GENERAL STATE CHARGES .................................. 8,816,076,000 10 -------------- 11 General Fund 12 State Purposes Account - 10050 13 For employee fringe benefits according to 14 the following project schedule including 15 those benefits which are related to 16 employees paid from funds, accounts, or 17 programs where the division of the budget 18 has issued waivers (85022) .............. 11,397,667,000",828,18,2025-26,STOPS 25-26.pdf,MISCELLANEOUS -- ALL STATE DEPARTMENTS AND AGENCIES|85022|2025|11397667000
MISCELLANEOUS -- ALL STATE DEPARTMENTS AND AGENCIES,STATE OPERATIONS,General Fund,State Purposes Account - 10050,80568,2025,334784000,0,"833 12550-10-5 MISCELLANEOUS -- ALL STATE DEPARTMENTS AND AGENCIES GENERAL STATE CHARGES STATE OPERATIONS 2025-26 1 Project schedule total ...... 11,397,667,000 2 -------------- 3 For taxes on public lands and payments 4 pursuant to sections 532 through 546 of 5 the real property tax law. The moneys 6 hereby appropriated are available for 7 payment of any liabilities or obligations 8 incurred prior to April 1, 2025 in addi- 9 tion to current liabilities (80568) ........ 334,784,000",833,9,2025-26,STOPS 25-26.pdf,MISCELLANEOUS -- ALL STATE DEPARTMENTS AND AGENCIES|80568|2025|334784000
MISCELLANEOUS -- ALL STATE DEPARTMENTS AND AGENCIES,STATE OPERATIONS,General Fund,State Purposes Account - 10050,80564,2025,180453000,0,"10 For judgments against the state pursuant to 11 section 20 of the court of claims act and 12 for judgments pursuant to actions brought 13 in the court of claims against public 14 benefit corporations indemnified by the 15 state, exclusive of the payment of any 16 judgments arising out of actions or 17 proceedings brought to obtain payment for 18 wages, salaries or other employee bene- 19 fits. The moneys hereby appropriated are 20 available for payment of any liabilities 21 or obligations incurred prior to April 22 1, 2025 in addition to current liabil- 23 ities (80564) .............................. 180,453,000",833,23,2025-26,STOPS 25-26.pdf,MISCELLANEOUS -- ALL STATE DEPARTMENTS AND AGENCIES|80564|2025|180453000
MISCELLANEOUS -- ALL STATE DEPARTMENTS AND AGENCIES,STATE OPERATIONS,General Fund,State Purposes Account - 10050,80561,2025,2000000,0,"5 For transfer to the property casualty insur- 6 ance security fund in accordance with the 7 terms of the settlement between the state 8 and the plaintiffs in accordance with the 9 Court of Appeals' opinion in Alliance of 10 American Insurers v. Chu, 77 NY2d 573 11 (1991) (80561) ............................... 2,000,000",838,11,2025-26,STOPS 25-26.pdf,MISCELLANEOUS -- ALL STATE DEPARTMENTS AND AGENCIES|80561|2025|2000000
