agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,VESID Social Security Account - 22001,21852,2020,698000,694000,"36 By chapter 53, section 1, of the laws of 2020:
37 For services and expenses of the special workers' compensation program
38 (21852) ... 698,000 ................................. (re. $694,000)",5,36,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21852|2020|698000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21852,2019,698000,696000,"294 12653-10-4
EDUCATION DEPARTMENT
AID TO LOCALITIES - REAPPROPRIATIONS 2024-25
1 For services and expenses of the special workers' compensation program
2 (21852) ... 698,000 ................................. (re. $696,000)",6,1,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21852|2019|698000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21848,2023,14027000,1403000,"18 Aid to educational television and radio. Notwithstanding any provision
19 of law, rule or regulation to the contrary, the amount appropriated
20 herein shall represent fulfillment of the state's obligation for
21 this program (21848) ... 14,027,000 ............... (re. $1,403,000)",6,18,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21848|2023|14027000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,55942,2022,112500,112500,"31 For services and expenses of the Langston Hughes Community Library and
32 Cultural Center of Queens Library _(_5_5_9_4_2_) ..........................
33 112,500 ............................................. (re. $112,500)",6,31,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|55942|2022|112500
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,55942,2021,75000,43000,"34 By chapter 53, section 1, of the laws of 2021:
35 For services and expenses of the Langston Hughes Community Library and
36 Cultural Center of Queens Library _(_5_5_9_4_2_) ..........................
37 75,000 ............................................... (re. $43,000)",6,34,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|55942|2021|75000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,55942,2020,75000,46000,"38 By chapter 53, section 1, of the laws of 2020:
39 For services and expenses of the Langston Hughes Community Library and
40 Cultural Center of Queens Library _(_5_5_9_4_2_) ..........................
41 75,000 ............................................... (re. $46,000)",6,38,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|55942|2020|75000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Operating Grants Account - 25456,21846,2019,91627000,188000,"295 12653-10-4
EDUCATION DEPARTMENT
AID TO LOCALITIES - REAPPROPRIATIONS 2024-25
1 the contrary, such aid, and the state's liability therefor, shall
2 represent fulfillment of the state's obligation for this program
3 (21846) ... 91,627,000 .............................. (re. $188,000)",7,1,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21846|2019|91627000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21849,2019,8346000,5255000,"25 By chapter 53, section 1, of the laws of 2019:
26 Grants to individual local governments or groups of cooperating local
27 governments as provided in section 57.35 of the arts and cultural
28 affairs law (21849) ... 8,346,000 ................. (re. $5,255,000)",8,25,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21849|2019|8346000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21850,2019,461000,9000,"29 Aid for documentary heritage grants and aid to eligible archives,
30 libraries, historical societies, museums, and to certain organiza-
31 tions including the state education department that provide services
32 to such programs (21850) ... 461,000 .................. (re. $9,000)",8,29,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21850|2019|461000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21849,2018,8346000,2651000,"33 By chapter 53, section 1, of the laws of 2018, as added by chapter 54,
34 section 2, of the laws of 2018:
35 Grants to individual local governments or groups of cooperating local
36 governments as provided in section 57.35 of the arts and cultural
37 affairs law (21849) ... 8,346,000 ................. (re. $2,651,000)",8,33,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21849|2018|8346000
