agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,81010,2008,170000000,9000,"1 By chapter 50, section 1, of the laws of 2008:
2 Alterations and improvements, including related departmental adminis-
3 trative costs, for the preservation of facilities including liabil-
4 ities incurred prior to April 1, 2008 (10030803) (81010) ...........
5 170,000,000 ........................................... (re. $9,000)",128,1.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|81010|2008|170000000
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,81010,2007,147000000,58000,"10 By chapter 50, section 1, of the laws of 2007:
11 Alterations and improvements, including related departmental adminis-
12 trative costs, for the preservation of facilities including liabil-
13 ities incurred prior to April 1, 2007 (10030703) (81010) ...........
14 147,000,000 .......................................... (re. $58,000)",128,10.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|81010|2007|147000000
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,81010,2006,137000000,1000,"15 By chapter 50, section 1, of the laws of 2006:
16 Alterations and improvements, including related departmental adminis-
17 trative costs, for the preservation of facilities including liabil-
18 ities incurred prior to April 1, 2006 (10030603) (81010) ...........
19 137,000,000 ........................................... (re. $1,000)",128,15.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|81010|2006|137000000
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,81063,2011,76000000,3000,"26 By chapter 54, section 1, of the laws of 2011:
27 Alterations and improvements, including related departmental adminis-
28 trative costs, for program improvement or program change including
29 liabilities incurred prior to April 1, 2011 (10081108) (81063) .....
30 76,000,000 ............................................ (re. $3,000)",130,26.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|81063|2011|76000000
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,81063,2009,90000000,55000,"31 By chapter 50, section 1, of the laws of 2009:
32 Alterations and improvements, including related departmental adminis-
33 trative costs, for program improvement or program change including
34 liabilities incurred prior to April 1, 2009 (10080908) (81063) .....
35 90,000,000 ........................................... (re. $55,000)",130,31.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|81063|2009|90000000
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,81063,2008,85000000,24000,"36 By chapter 50, section 1, of the laws of 2008:
37 Alterations and improvements, including related departmental adminis-
38 trative costs, for program improvement or program change including
39 liabilities incurred prior to April 1, 2008 (10080808) (81063) .....
40 85,000,000 ........................................... (re. $24,000)",130,36.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|81063|2008|85000000
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,81063,2006,44000000,1000,"41 By chapter 50, section 1, of the laws of 2006:
42 Alterations and improvements, including related departmental adminis-
43 trative costs, for program improvement or program change including
44 liabilities incurred prior to April 1, 2006 (10080608) (81063) .....
45 44,000,000 ............................................ (re. $1,000)",130,41.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|81063|2006|44000000
DIVISION OF CRIMINAL JUSTICE SERVICES,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,60187,2022,22566000,22566000,"27 By chapter 54, section 1, of the laws of 2022:
28 To support capital investments related to statewide discovery data-
29 base, including but not limited to equipment, and technology
30 enhancements. All or a portion of the funds appropriated herein may
31 be transferred or suballocated to any state department, agency, or
32 the judiciary (CJDI2208) (60187) ... 25,000,000 .. (re. $22,566,000)",133,27.0,2025-26,CAP 25-26.pdf,DIVISION OF CRIMINAL JUSTICE SERVICES|60187|2022|22566000
EDUCATION DEPARTMENT,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,23304,2019,4100000,278000,"13 For the maintenance and operation of various facilities and systems
14 including personal services, fringe benefits and indirect costs.
15 Notwithstanding any other law to the contrary, all or a portion of
16 the funds appropriated herein may be suballocated or transferred to
17 any department, agency, or public authority (11PS1903) (23304) .....
18 4,100,000 ........................................... (re. $278,000)",141,13.0,2025-26,CAP 25-26.pdf,EDUCATION DEPARTMENT|23304|2019|4100000
EDUCATION DEPARTMENT,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,21865,2004,1000000,37000,"3 By chapter 53, section 1, of the laws of 2004, as amended by chapter 62,
4 section 3, of the laws of 2005:
5 For minor rehabilitation projects to keep facilities in a safe operat-
6 ing condition subject to a plan developed by the education depart-
7 ment and approved by the director of the budget (11020403) (21865)
8 ... 1,000,000 ........................................ (re. $37,000)",143,3.0,2025-26,CAP 25-26.pdf,EDUCATION DEPARTMENT|21865|2004|1000000
EDUCATION DEPARTMENT,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,23486,2024,0,44000000,"20 The appropriation made by chapter 54, section 1, of the laws of 2024, as
21 supplemented by a transfer in accordance with state finance law, is
22 hereby amended and reappropriated to read:
23 For total approved project costs pursuant to section 273-a of the
24 education law, for approved projects, excluding feasibility studies,
25 plans or similar activities, for the acquisition of vacant land and
26 the acquisition, construction, renovation or rehabilitation, includ-
27 ing leasehold improvements, of buildings of public libraries and
28 library systems chartered by the regents of the state of New York or
29 established by an act of the legislature, subject to distribution
30 provisions in subdivision 5 of section 273-a of the education law on
31 and upon approval by the commissioner (11LC2408) (23486) ...
32 [34,000,000] _4_4_,_0_0_0_,_0_0_0 .......................... (re. $44,000,000)",144,20.0,2025-26,CAP 25-26.pdf,EDUCATION DEPARTMENT|23486|2024|0
EDUCATION DEPARTMENT,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,55990,2024,0,70000000,"29 The appropriation made by chapter 54, section 1, of the laws of 2024, as
30 supplemented by a transfer in accordance with state finance law, is
31 hereby amended and reappropriated to read:
32 For services and expenses for nonpublic schools of health and safety
33 equipment, security personnel, related assessments and training
34 needs, remediation of hazardous conditions, and the repair and main-
35 tenance of buildings, facilities, appurtenances, equipment and
36 systems to maintain the health and safety of school building occu-
37 pants, utilizing competitive and noncompetitive grants pursuant to a
38 plan developed by the commissioner of education and approved by the
39 director of the budget (11SE2401) (55990) ..........................
40 [45,000,000] _7_0_,_0_0_0_,_0_0_0 .......................... (re. $70,000,000)",146,29.0,2025-26,CAP 25-26.pdf,EDUCATION DEPARTMENT|55990|2024|0
EDUCATION DEPARTMENT,CAPITAL PROJECTS,Capital Projects Fund,Office of the Professions Electronic Licensing Account - 32222,55992,2021,7850000,1000,"42 By chapter 54, section 1, of the laws of 2021:
43 For services and expenses related to the development of an electronic
44 licensing system for the office of the professions, including but
45 not limited to equipment, software, hardware and services, subject
46 to a plan developed by the education department in conjunction with
AB
150 12554-09-5
EDUCATION DEPARTMENT
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 the office of information technology services and approved by the
2 director of the budget.
3 Funds appropriated herein may be suballocated to any other state
4 department, agency, or public benefit corporation, to achieve the
5 purpose of this appropriation (11EL2108) (55992) ...................
6 7,850,000 ............................................. (re. $1,000)",150,42.0,2025-26,CAP 25-26.pdf,EDUCATION DEPARTMENT|55992|2021|7850000
EDUCATION DEPARTMENT,CAPITAL PROJECTS,Capital Projects Fund,Office of the Professions Electronic Licensing Account - 32222,23468,2009,1000,1000,"37 By chapter 53, section 1, of the laws of 2009:
38 For various rehabilitation and renovation projects to keep facilities
39 at the School for the Blind in a safe operating condition subject to
40 a plan developed by the education department and approved by the
41 director of the budget (11030901) (23468) ... 800,000 . (re. $1,000)",153,37.0,2025-26,CAP 25-26.pdf,EDUCATION DEPARTMENT|23468|2009|1000
