agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,record_type,page_number,line_number,fiscal_year,raw_line,source_file,composite_key
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Operating Grants Account - 25456,21834,2025,20871680,0,appropriation,4,37.0,2025-26,"(STEP) awards (21834) ....................... 20,871,680",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21834|2025|20871680
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Operating Grants Account - 25456,21835,2025,15816390,0,appropriation,4,39.0,2025-26,"program (CSTEP) awards (21835) .............. 15,816,390",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21835|2025|15816390
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Operating Grants Account - 25456,21837,2025,450000,0,appropriation,4,41.0,2025-26,"(21837) ........................................ 450,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21837|2025|450000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,55913,2025,7920000,0,appropriation,5,12.0,2025-26,"community colleges as appropriate (55913) .... 7,920,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|55913|2025|7920000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21838,2025,941000,0,appropriation,5,17.0,2025-26,"(21838) ........................................ 941,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21838|2025|941000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21785,2025,368000,0,appropriation,5,21.0,2025-26,"26 school year (21785) ......................... 368,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21785|2025|368000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23344,2025,2000000,0,appropriation,5,25.0,2025-26,"universities (23344) ......................... 2,000,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|23344|2025|2000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23419,2025,5000000,0,appropriation,5,48.0,2025-26,"intent of this appropriation (23419) ......... 5,000,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|23419|2025|5000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21744,2025,5214000,0,appropriation,6,14.0,2025-26,"intent of this appropriation (21744) ......... 5,214,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21744|2025|5214000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21701,2025,20279884000,0,appropriation,9,11.0,2025-26,"hereafter to accrue (21701) ............. 20,279,884,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21701|2025|20279884000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21882,2025,10401323000,0,appropriation,9,60.0,2025-26,"hereafter to accrue (21882) ............. 10,401,323,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21882|2025|10401323000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21746,2025,25883000,0,appropriation,10,42.0,2025-26,"accrue (21746) .............................. 25,883,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21746|2025|25883000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21747,2025,12950000,0,appropriation,11,20.0,2025-26,"accrue (21747) .............................. 12,950,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21747|2025|12950000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21748,2025,2300000,0,appropriation,11,57.0,2025-26,"accrue (21748) ............................... 2,300,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21748|2025|2300000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21749,2025,9273000,0,appropriation,12,24.0,2025-26,"accrue (21749) ............................... 9,273,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21749|2025|9273000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21750,2025,3500000,0,appropriation,12,54.0,2025-26,"accrue (21750) ............................... 3,500,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21750|2025|3500000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21751,2025,4025000,0,appropriation,13,21.0,2025-26,"accrue (21751) ............................... 4,025,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21751|2025|4025000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21752,2025,34125000,0,appropriation,13,52.0,2025-26,"accrue (21752) .............................. 34,125,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21752|2025|34125000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21753,2025,1890000,0,appropriation,14,22.0,2025-26,"accrue (21753) ............................... 1,890,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21753|2025|1890000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21754,2025,280000,0,appropriation,14,59.0,2025-26,"accrue (21754) ................................. 280,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21754|2025|280000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,23485,2025,1400000,0,appropriation,15,24.0,2025-26,"accrue (23485) ............................... 1,400,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|23485|2025|1400000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21755,2025,8400000,0,appropriation,15,58.0,2025-26,"accrue (21755) ............................... 8,400,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21755|2025|8400000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21756,2025,43530000,0,appropriation,16,27.0,2025-26,"accrue (21756) .............................. 43,530,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21756|2025|43530000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21757,2025,9688000,0,appropriation,17,5.0,2025-26,"accrue (21757) ............................... 9,688,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21757|2025|9688000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21759,2025,17500000,0,appropriation,17,59.0,2025-26,"accrue (21759) .............................. 17,500,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21759|2025|17500000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21762,2025,96000000,0,appropriation,18,25.0,2025-26,"er to accrue (21762) ........................ 96,000,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21762|2025|96000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,56138,2025,340000000,0,appropriation,19,8.0,2025-26,"education law (56138) ...................... 340,000,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|56138|2025|340000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,23387,2025,88360000,0,appropriation,19,41.0,2025-26,"(23387) ..................................... 88,360,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|23387|2025|88360000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,55907,2025,190000000,0,appropriation,19,47.0,2025-26,"education law (55907) ...................... 190,000,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|55907|2025|190000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,55971,2025,145000000,0,appropriation,19,51.0,2025-26,"3602 of the education law (55971) .......... 145,000,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|55971|2025|145000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,23306,2025,85990000,0,appropriation,22,35.0,2025-26,"grants(23306) ............................... 85,990,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|23306|2025|85990000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,55962,2025,1200000,0,appropriation,23,53.0,2025-26,"assistance to operate such centers (55962).... 1,200,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|55962|2025|1200000
