category,agency,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,account,record_type,page_number,source_budget,composite_key
extra_in_reconstruction,COUNCIL ON THE ARTS,12133,2024,500000,428000,State Purposes Account - 10050,reappropriation,42,executive,COUNCIL ON THE ARTS|12133|2024|500000|STATE PURPOSES ACCOUNT - 10050
extra_in_reconstruction,COUNCIL ON THE ARTS,12134,2024,1000000,452000,State Purposes Account - 10050,reappropriation,42,executive,COUNCIL ON THE ARTS|12134|2024|1000000|STATE PURPOSES ACCOUNT - 10050
extra_in_reconstruction,DEPARTMENT OF ECONOMIC DEVELOPMENT,21602,2022,150000,150000,Federal Miscellaneous Grants Account - 25340,reappropriation,101,executive,DEPARTMENT OF ECONOMIC DEVELOPMENT|21602|2022|150000|FEDERAL MISCELLANEOUS GRANTS ACCOUNT - 25340
extra_in_reconstruction,EDUCATION DEPARTMENT,23388,2024,740000,740000,Indirect Cost Recovery Account - 21978,reappropriation,142,executive,EDUCATION DEPARTMENT|23388|2024|740000|INDIRECT COST RECOVERY ACCOUNT - 21978
extra_in_reconstruction,DEPARTMENT OF ENVIRONMENTAL CONSERVATION,24717,2022,9898000,1700000,State Purposes Account - 10050,reappropriation,204,executive,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24717|2022|9898000|STATE PURPOSES ACCOUNT - 10050
extra_in_reconstruction,DEPARTMENT OF ENVIRONMENTAL CONSERVATION,24800,2023,1050000,111000,Lake George Park Account - 22751,reappropriation,206,executive,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24800|2023|1050000|LAKE GEORGE PARK ACCOUNT - 22751
extra_in_reconstruction,DEPARTMENT OF FAMILY ASSISTANCE,52219,2022,55465306,15945000,Refugee Resettlement Account - 25160,reappropriation,299,executive,DEPARTMENT OF FAMILY ASSISTANCE|52219|2022|55465306|REFUGEE RESETTLEMENT ACCOUNT - 25160
extra_in_reconstruction,DEPARTMENT OF PUBLIC SERVICE,48609,2024,1500000,1500000,Local Assistance Account - 10000,reappropriation,616,executive,DEPARTMENT OF PUBLIC SERVICE|48609|2024|1500000|LOCAL ASSISTANCE ACCOUNT - 10000
