agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,record_type,page_number,line_number,fiscal_year,raw_line,source_file,has_underlined_content,underlined_text,composite_key
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,10311,2024,9416000,9416000,reappropriation,8,5.0,2025-26,"8 Personal service (50000) ... 9,416,000 .............. (re. $9,416,000)",STOPS 25-26.pdf,False,,OFFICE FOR THE AGING|10311|2024|9416000|FHHS STATE OPERATIONS ACCOUNT - 25177
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,10311,2023,6422000,6422000,reappropriation,8,10.0,2025-26,"13 Personal service (50000) ... 6,422,000 .............. (re. $6,422,000)",STOPS 25-26.pdf,False,,OFFICE FOR THE AGING|10311|2023|6422000|FHHS STATE OPERATIONS ACCOUNT - 25177
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,10311,2022,6422000,5891000,reappropriation,8,15.0,2025-26,"18 Personal service (50000) ... 6,422,000 .............. (re. $5,891,000)",STOPS 25-26.pdf,False,,OFFICE FOR THE AGING|10311|2022|6422000|FHHS STATE OPERATIONS ACCOUNT - 25177
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,10314,2024,343000,343000,reappropriation,8,23.0,2025-26,"26 Personal service (50000) ... 343,000 .................. (re. $343,000)",STOPS 25-26.pdf,False,,OFFICE FOR THE AGING|10314|2024|343000|FHHS STATE OPERATIONS ACCOUNT - 25177
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,10314,2022,343000,89000,reappropriation,8,28.0,2025-26,"31 Personal service (50000) ... 343,000 ................... (re. $89,000)",STOPS 25-26.pdf,False,,OFFICE FOR THE AGING|10314|2022|343000|FHHS STATE OPERATIONS ACCOUNT - 25177
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,81001,2024,9900000,5873000,reappropriation,20,4.0,2025-26,"12 Personal service--regular (50100) ... 9,900,000 ..... (re. $5,873,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|81001|2024|9900000|STATE PURPOSES ACCOUNT - 10050
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,10901,2024,19935000,9793000,reappropriation,20,22.0,2025-26,"31 Personal service--regular (50100) ... 19,935,000 .... (re. $9,793,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2024|19935000|STATE PURPOSES ACCOUNT - 10050
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Food and Nutrition Services Account - 25021,11419,2019,1125000,472000,reappropriation,21,37.0,2025-26,"4 Contractual services (51000) ... 1,125,000 ............ (re. $472,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|11419|2019|1125000|FEDERAL FOOD AND NUTRITION SERVICES ACCOUNT - 25021
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Food and Nutrition Services Account - 25021,11419,2018,1125000,266000,reappropriation,21,5.0,2025-26,"16 Contractual services (51000) ... 1,125,000 ............ (re. $266,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|11419|2018|1125000|FEDERAL FOOD AND NUTRITION SERVICES ACCOUNT - 25021
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Food and Nutrition Services Account - 25021,10901,1991,6500000,6250000,reappropriation,21,17.0,2025-26,"21 (10901) ... 6,500,000 ............................. (re. $6,250,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|1991|6500000|FEDERAL FOOD AND NUTRITION SERVICES ACCOUNT - 25021
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Food and Nutrition Services Account - 25021,10911,2024,763000,763000,reappropriation,21,25.0,2025-26,"36 Personal service (50000) ... 763,000 .................. (re. $763,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10911|2024|763000|FEDERAL FOOD AND NUTRITION SERVICES ACCOUNT - 25021
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Food and Nutrition Services Account - 25021,10911,2023,763000,200000,reappropriation,22,40.0,2025-26,"4 Personal service (50000) ... 763,000 .................. (re. $200,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10911|2023|763000|FEDERAL FOOD AND NUTRITION SERVICES ACCOUNT - 25021
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Food and Nutrition Services Account - 25021,10911,2022,44972000,35954000,reappropriation,22,8.0,2025-26,"19 Nonpersonal service (57050) ... 44,972,000 ......... (re. $35,954,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10911|2022|44972000|FEDERAL FOOD AND NUTRITION SERVICES ACCOUNT - 25021
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Food and Nutrition Services Account - 25021,10911,2021,762000,566000,reappropriation,22,22.0,2025-26,"33 Personal service (50000) ... 762,000 .................. (re. $566,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10911|2021|762000|FEDERAL FOOD AND NUTRITION SERVICES ACCOUNT - 25021
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Food and Nutrition Services Account - 25021,10911,2020,762000,137000,reappropriation,22,37.0,2025-26,"48 Personal service (50000) ... 762,000 .................. (re. $137,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10911|2020|762000|FEDERAL FOOD AND NUTRITION SERVICES ACCOUNT - 25021
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Miscellaneous Federal Operating Grants Account - 25006,10912,2024,1635000,1580000,reappropriation,23,6.0,2025-26,"17 Personal service (50000) ... 1,635,000 .............. (re. $1,580,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10912|2024|1635000|MISCELLANEOUS FEDERAL OPERATING GRANTS ACCOUNT - 25006
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Miscellaneous Federal Operating Grants Account - 25006,10912,2023,1635000,662000,reappropriation,23,21.0,2025-26,"32 Personal service (50000) ... 1,635,000 ................ (re. $662,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10912|2023|1635000|MISCELLANEOUS FEDERAL OPERATING GRANTS ACCOUNT - 25006
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Miscellaneous Federal Operating Grants Account - 25006,10912,2022,1635000,415000,reappropriation,23,36.0,2025-26,"47 Personal service (50000) ... 1,635,000 ................ (re. $415,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10912|2022|1635000|MISCELLANEOUS FEDERAL OPERATING GRANTS ACCOUNT - 25006
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Miscellaneous Gifts Account - 20105,10912,2021,1135000,648000,reappropriation,24,3.0,2025-26,"14 Personal service (50000) ... 1,135,000 ................ (re. $648,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10912|2021|1135000|MISCELLANEOUS GIFTS ACCOUNT - 20105
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Miscellaneous Gifts Account - 20105,10901,2024,500000,500000,reappropriation,24,21.0,2025-26,"24 Contractual services (51000) ... 500,000 .............. (re. $500,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2024|500000|MISCELLANEOUS GIFTS ACCOUNT - 20105
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Miscellaneous Gifts Account - 20105,10901,2023,500000,500000,reappropriation,24,25.0,2025-26,"28 Contractual services (51000) ... 500,000 .............. (re. $500,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2023|500000|MISCELLANEOUS GIFTS ACCOUNT - 20105
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Miscellaneous Gifts Account - 20105,10901,2022,500000,500000,reappropriation,24,29.0,2025-26,"32 Contractual services (51000) ... 500,000 .............. (re. $500,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2022|500000|MISCELLANEOUS GIFTS ACCOUNT - 20105
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Miscellaneous Gifts Account - 20105,10901,2021,500000,500000,reappropriation,24,33.0,2025-26,"36 Contractual services (51000) ... 500,000 .............. (re. $500,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2021|500000|MISCELLANEOUS GIFTS ACCOUNT - 20105
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Pet Dealer License Account - 22137,10901,2024,1000000,783000,reappropriation,25,40.0,2025-26,"6 Contractual services (51000) ... 1,000,000 ............ (re. $783,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2024|1000000|PET DEALER LICENSE ACCOUNT - 22137
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Pet Dealer License Account - 22137,10901,2023,1000000,345000,reappropriation,25,7.0,2025-26,"17 Contractual services (51000) ... 1,000,000 ............ (re. $345,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2023|1000000|PET DEALER LICENSE ACCOUNT - 22137
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Pet Dealer License Account - 22137,10901,2022,1000000,567000,reappropriation,25,18.0,2025-26,"28 Contractual services (51000) ... 1,000,000 ............ (re. $567,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2022|1000000|PET DEALER LICENSE ACCOUNT - 22137
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Pet Dealer License Account - 22137,10901,2021,1000000,723000,reappropriation,25,29.0,2025-26,"39 Contractual services (51000) ... 1,000,000 ............ (re. $723,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2021|1000000|PET DEALER LICENSE ACCOUNT - 22137
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Pet Dealer License Account - 22137,10901,2024,55000,55000,reappropriation,25,43.0,2025-26,"46 Personal service--regular (50100) ... 55,000 ........... (re. $55,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2024|55000|PET DEALER LICENSE ACCOUNT - 22137
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Plant Industry Account - 22029,10901,2023,52000,11000,reappropriation,26,5.0,2025-26,"8 Personal service--regular (50100) ... 52,000 ........... (re. $11,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2023|52000|PLANT INDUSTRY ACCOUNT - 22029
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Plant Industry Account - 22029,10901,2022,52000,2000,reappropriation,26,14.0,2025-26,"17 Personal service--regular (50100) ... 52,000 ............ (re. $2,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2022|52000|PLANT INDUSTRY ACCOUNT - 22029
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Plant Industry Account - 22029,10901,2021,10000,10000,reappropriation,26,22.0,2025-26,"25 Supplies and materials (57000) ... 10,000 .............. (re. $10,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2021|10000|PLANT INDUSTRY ACCOUNT - 22029
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Plant Industry Account - 22029,10901,2024,886000,851000,reappropriation,26,31.0,2025-26,"34 Personal service--regular (50100) ... 886,000 ......... (re. $851,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2024|886000|PLANT INDUSTRY ACCOUNT - 22029
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Plant Industry Account - 22029,10901,2023,846000,799000,reappropriation,26,43.0,2025-26,"46 Personal service--regular (50100) ... 846,000 ......... (re. $799,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2023|846000|PLANT INDUSTRY ACCOUNT - 22029
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Special Agricultural Inspecting and Marketing Account - 21955,10901,2022,846000,798000,reappropriation,27,9.0,2025-26,"12 Personal service--regular (50100) ... 846,000 ......... (re. $798,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2022|846000|SPECIAL AGRICULTURAL INSPECTING AND MARKETING ACCOUNT - 21955
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Special Agricultural Inspecting and Marketing Account - 21955,10901,2021,792000,786000,reappropriation,27,21.0,2025-26,"24 Personal service--regular (50100) ... 792,000 ......... (re. $786,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2021|792000|SPECIAL AGRICULTURAL INSPECTING AND MARKETING ACCOUNT - 21955
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Special Agricultural Inspecting and Marketing Account - 21955,10901,2024,1128000,704000,reappropriation,27,36.0,2025-26,"39 Personal service--regular (50100) ... 1,128,000 ....... (re. $704,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2024|1128000|SPECIAL AGRICULTURAL INSPECTING AND MARKETING ACCOUNT - 21955
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Agricultural and Farmland Viability Protection Account - 22265,10901,2023,1079000,672000,reappropriation,28,1.0,2025-26,"4 Personal service--regular (50100) ... 1,079,000 ....... (re. $672,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2023|1079000|AGRICULTURAL AND FARMLAND VIABILITY PROTECTION ACCOUNT - 22265
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Agricultural and Farmland Viability Protection Account - 22265,10901,2022,1079000,679000,reappropriation,28,13.0,2025-26,"16 Personal service--regular (50100) ... 1,079,000 ....... (re. $679,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2022|1079000|AGRICULTURAL AND FARMLAND VIABILITY PROTECTION ACCOUNT - 22265
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Agricultural and Farmland Viability Protection Account - 22265,10901,2021,1010000,432000,reappropriation,28,25.0,2025-26,"28 Personal service--regular (50100) ... 1,010,000 ....... (re. $432,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2021|1010000|AGRICULTURAL AND FARMLAND VIABILITY PROTECTION ACCOUNT - 22265
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,10910,2024,15317000,6936000,reappropriation,29,7.0,2025-26,"16 Personal service--regular (50100) ... 15,317,000 .... (re. $6,936,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10910|2024|15317000|STATE PURPOSES ACCOUNT - 10050
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,10910,2018,2885000,1049000,reappropriation,29,23.0,2025-26,"33 Contractual services (51000) ... 2,885,000 .......... (re. $1,049,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10910|2018|2885000|STATE PURPOSES ACCOUNT - 10050
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,federal health and human services,State Purposes Account - 10050,10910,2024,1372000,1075000,reappropriation,30,37.0,2025-26,"3 Personal service (50000) ... 1,372,000 .............. (re. $1,075,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10910|2024|1372000|STATE PURPOSES ACCOUNT - 10050
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,federal health and human services,State Purposes Account - 10050,10910,2023,1372000,653000,reappropriation,30,7.0,2025-26,"18 Personal service (50000) ... 1,372,000 ................ (re. $653,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10910|2023|1372000|STATE PURPOSES ACCOUNT - 10050
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,federal health and human services,State Purposes Account - 10050,10910,2022,1372000,149000,reappropriation,30,22.0,2025-26,"33 Personal service (50000) ... 1,372,000 ................ (re. $149,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10910|2022|1372000|STATE PURPOSES ACCOUNT - 10050
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,federal health and human services,State Purposes Account - 10050,10910,2021,750000,135000,reappropriation,30,37.0,2025-26,"48 Nonpersonal service (57050) ... 750,000 ............... (re. $135,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10910|2021|750000|STATE PURPOSES ACCOUNT - 10050
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Food Monitoring Program Account - 25006,11488,2024,2375000,2375000,reappropriation,31,5.0,2025-26,"17 Personal service (50000) ... 2,375,000 .............. (re. $2,375,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|11488|2024|2375000|FOOD MONITORING PROGRAM ACCOUNT - 25006
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Food Monitoring Program Account - 25006,11488,2023,2375000,2375000,reappropriation,31,21.0,2025-26,"33 Personal service (50000) ... 2,375,000 .............. (re. $2,375,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|11488|2023|2375000|FOOD MONITORING PROGRAM ACCOUNT - 25006
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Consumer Food - Mobile Source Account - 21452,11488,2022,2375000,1667000,reappropriation,32,37.0,2025-26,"1 Personal service (50000) ... 2,375,000 .............. (re. $1,667,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|11488|2022|2375000|CONSUMER FOOD - MOBILE SOURCE ACCOUNT - 21452
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Consumer Food - Mobile Source Account - 21452,11488,2021,2375000,1162000,reappropriation,32,5.0,2025-26,"17 Personal service (50000) ... 2,375,000 .............. (re. $1,162,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|11488|2021|2375000|CONSUMER FOOD - MOBILE SOURCE ACCOUNT - 21452
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Consumer Food - Mobile Source Account - 21452,11488,2020,2375000,1691000,reappropriation,32,21.0,2025-26,"33 Personal service (50000) ... 2,375,000 .............. (re. $1,691,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|11488|2020|2375000|CONSUMER FOOD - MOBILE SOURCE ACCOUNT - 21452
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Consumer Food - Mobile Source Account - 21452,10910,2024,1224000,1224000,reappropriation,32,40.0,2025-26,"43 Contractual services (51000) ... 1,224,000 .......... (re. $1,224,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10910|2024|1224000|CONSUMER FOOD - MOBILE SOURCE ACCOUNT - 21452
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Consumer Food - Mobile Source Account - 21452,10910,2023,1224000,953000,reappropriation,32,44.0,2025-26,"47 Contractual services (51000) ... 1,224,000 ............ (re. $953,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10910|2023|1224000|CONSUMER FOOD - MOBILE SOURCE ACCOUNT - 21452
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Farm Products Inspection Account - 21948,10910,2022,1224000,953000,reappropriation,33,1.0,2025-26,"4 Contractual services (51000) ... 1,224,000 ............ (re. $953,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10910|2022|1224000|FARM PRODUCTS INSPECTION ACCOUNT - 21948
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Farm Products Inspection Account - 21948,10910,2021,1224000,953000,reappropriation,33,5.0,2025-26,"8 Contractual services (51000) ... 1,224,000 ............ (re. $953,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10910|2021|1224000|FARM PRODUCTS INSPECTION ACCOUNT - 21948
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Farm Products Inspection Account - 21948,10910,2024,981000,645000,reappropriation,33,12.0,2025-26,"15 Personal service--regular (50100) ... 981,000 ......... (re. $645,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10910|2024|981000|FARM PRODUCTS INSPECTION ACCOUNT - 21948
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Farm Products Inspection Account - 21948,10910,2023,943000,564000,reappropriation,33,23.0,2025-26,"26 Personal service--regular (50100) ... 943,000 ......... (re. $564,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10910|2023|943000|FARM PRODUCTS INSPECTION ACCOUNT - 21948
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Farm Products Inspection Account - 21948,10910,2022,899000,371000,reappropriation,33,34.0,2025-26,"37 Personal service--regular (50100) ... 899,000 ......... (re. $371,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10910|2022|899000|FARM PRODUCTS INSPECTION ACCOUNT - 21948
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Motor Fuel Quality Account - 22149,10910,2021,842000,178000,reappropriation,34,45.0,2025-26,"3 Personal service--regular (50100) ... 842,000 ......... (re. $178,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10910|2021|842000|MOTOR FUEL QUALITY ACCOUNT - 22149
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Motor Fuel Quality Account - 22149,10910,2024,1857000,1332000,reappropriation,34,14.0,2025-26,"20 Personal service--regular (50100) ... 1,857,000 ..... (re. $1,332,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10910|2024|1857000|MOTOR FUEL QUALITY ACCOUNT - 22149
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Motor Fuel Quality Account - 22149,10910,2023,1785000,766000,reappropriation,34,29.0,2025-26,"35 Personal service--regular (50100) ... 1,785,000 ....... (re. $766,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10910|2023|1785000|MOTOR FUEL QUALITY ACCOUNT - 22149
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Motor Fuel Quality Account - 22149,10910,2022,1785000,573000,reappropriation,35,44.0,2025-26,"4 Personal service--regular (50100) ... 1,785,000 ....... (re. $573,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10910|2022|1785000|MOTOR FUEL QUALITY ACCOUNT - 22149
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Motor Fuel Quality Account - 22149,10910,2021,1671000,553000,reappropriation,35,13.0,2025-26,"19 Personal service--regular (50100) ... 1,671,000 ....... (re. $553,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10910|2021|1671000|MOTOR FUEL QUALITY ACCOUNT - 22149
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Motor Fuel Quality Account - 22149,10910,2020,1740000,536000,reappropriation,35,27.0,2025-26,"33 Personal service--regular (50100) ... 1,740,000 ....... (re. $536,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10910|2020|1740000|MOTOR FUEL QUALITY ACCOUNT - 22149
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Motor Fuel Quality Account - 22149,10910,2019,1222000,252000,reappropriation,35,40.0,2025-26,"46 Contractual services (51000) ... 1,222,000 ............ (re. $252,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10910|2019|1222000|MOTOR FUEL QUALITY ACCOUNT - 22149
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Weights and Measures Account - 22150,10910,2024,230000,179000,reappropriation,36,2.0,2025-26,"5 Personal service--regular (50100) ... 230,000 ......... (re. $179,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10910|2024|230000|WEIGHTS AND MEASURES ACCOUNT - 22150
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Weights and Measures Account - 22150,10910,2023,221000,48000,reappropriation,36,14.0,2025-26,"17 Personal service--regular (50100) ... 221,000 .......... (re. $48,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10910|2023|221000|WEIGHTS AND MEASURES ACCOUNT - 22150
