status,match_pass,similarity_score,agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key
missing_id,,,EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,MISSING_ID,2020,800000,30000,"7 By chapter 50, section 1, of the laws of 2020:
8 For services and expenses of the Office of Family and Community
9 Engagement ... 800,000 ............................... (re. $30,000)",170,7.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|MISSING_ID|2020|800000|30000|170
missing_id,,,EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,MISSING_ID,2018,225000,217000,"18 By chapter 50, section 1, of the laws of 2018:
19 For continued support of state monitors appointed by the commissioner
20 of education ... 225,000 ............................ (re. $217,000)",170,18.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|MISSING_ID|2018|225000|217000|170
missing_id,,,EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,MISSING_ID,2016,167000,85000,"27 Travel ... 167,000 ..................................... (re. $85,000)",170,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|MISSING_ID|2016|167000|85000|170
missing_id,,,DEPARTMENT OF PUBLIC SERVICE,STATE OPERATIONS,Special Revenue Funds - Federal,PSC-Pipeline Safety Grant Account - 25379,MISSING_ID,2021,1000000,1000000,"4 By chapter 50, section 1, of the laws of 2021:
5 For payment of costs pursuant to section 224-c of the public service
6 law, including but not limited to a study of the availability, reli-
7 ability, and cost of highspeed internet and broadband services in
8 New York state and the on-line publication of a detailed internet
9 access map of the state ... 1,000,000 ............. (re. $1,000,000)",706,4.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF PUBLIC SERVICE|MISSING_ID|2021|1000000|1000000|706
