status,match_pass,similarity_score,agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key
missing_id,,,EDUCATION DEPARTMENT,CAPITAL PROJECTS,Capital Projects Fund,Office of the Professions Electronic Licensing Account - 32222,MISSING_ID,2019,20000000,10153000,"41 By chapter 54, section 1, of the laws of 2019, as amended by chapter 54,
42 section 1, of the laws of 2020:
43 For a competitive grant program to provide safety and security
44 projects at nonpublic schools and day camps at risk of hate crimes
45 or attacks because of their ideology, beliefs or mission. Provided
46 that an assessment of facilities at risk may include, but not be
AB
151 12554-09-5
EDUCATION DEPARTMENT
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 limited to, considerations of the vulnerabilities of the organiza-
2 tion based on its location and membership, and the potential conse-
3 quences of a hate crime or attack at the facility. Provided further
4 that recipients of such grants may be required to commit to under-
5 take matching safety and security projects in an amount established
6 in the request for applications for such grants, and provided
7 further that recipients of such grants shall be entitled to use such
8 funds to purchase commodities, services, and technology through
9 centralized contracts established by the office of general services
10 under section 163 of the state finance law, and such recipients
11 shall be deemed for such purposes to be ""authorized users"" within
12 the meaning of paragraph k of subdivision 1 of section 163 of the
13 state finance law. Notwithstanding section 93 of the state finance
14 law or any provision of law to the contrary, the amount appropriated
15 herein may be transferred or suballocated to the division of home-
16 land security and emergency services to accomplish the intent of
17 this appropriation or interchanged with any other appropriation
18 within the safety and security for at-risk facilities comprehensive
19 construction program (11MG1908) ... 20,000,000 ... (re. $10,153,000)",151,41,2025-26,CAP 25-26.pdf,EDUCATION DEPARTMENT|MISSING_ID|2019|20000000|10153000|151
missing_id,,,DEPARTMENT OF HEALTH,CAPITAL PROJECTS,Capital Projects Fund,Health Care IT Capital Account - 32216,MISSING_ID,2015,3266000,3266000,"32 FACILITIES MAINTENANCE AND OPERATIONS (CCP)
33 Capital Projects Funds - Other
34 Capital Projects Fund - 30000
35 Maintenance and Operations Purpose
36 For services and expenses of a quality program for adult care facili-
37 ties. Such program shall be targeted at facilities with a high
38 population of residents who receive supplemental security income, as
39 defined in subchapter XVI of chapter 7 of title 42 of the United
40 States Code, state supplemental payments, Medicaid (with respect to
41 residents in an assisted living program), or safety net assistance,
42 as defined in section 159 of the social services law, and used to
43 support capital improvement projects that will enhance the physical
44 environment of the facility and promote a higher quality of life for
45 residents, in accordance with a plan approved by the residents'
46 council, the department, and the director of the budget, provided
47 however that such expenditures shall not be used to supplant the
48 obligations of facility operator to provide a safe comfortable
AB
455 12554-09-5
DEPARTMENT OF HEALTH
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 living environment for residents in a good state of repair and sani-
2 tation. The department, subject to the approval of the director of
3 the division of budget, shall develop an allocation methodology
4 taking into account financial status of the facility, resident
5 needs, and the population of residents who receive supplemental
6 security income, state supplemental payments, Medicaid (with respect
7 to residents in an assisted living program), or safety net assist-
8 ance. Such allocation shall serve as the basis of distribution to
9 eligible facilities (12EQ24MO) ... 3,266,000 ...... (re. $3,266,000)",455,32,2025-26,CAP 25-26.pdf,DEPARTMENT OF HEALTH|MISSING_ID|2015|3266000|3266000|455
missing_id,,,NEW YORK STATE URBAN DEVELOPMENT CORPORATION,CAPITAL PROJECTS,Capital Projects Fund,Transportation Infrastructure Renewal Bond Fund Account - 30660,MISSING_ID,2023,130000000,130000000,"AB
1146 12554-09-5
NEW YORK STATE URBAN DEVELOPMENT CORPORATION
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 The sum of $130,000,000 is hereby appropriated for services and
2 expenses for the redevelopment of the Hunts Point Produce Market in
3 the Bronx. Funds appropriated herein shall be for, including but not
4 limited to, the acquisition of real property, preparation of plans,
5 design, construction, renovation, administration, and other costs
6 incidental thereto (91952309) ......................................
7 130,000,000 ..................................... (re. $130,000,000)",1146,1,2025-26,CAP 25-26.pdf,NEW YORK STATE URBAN DEVELOPMENT CORPORATION|MISSING_ID|2023|130000000|130000000|1146
missing_id,,,NEW YORK STATE URBAN DEVELOPMENT CORPORATION,CAPITAL PROJECTS,Capital Projects Fund,Transportation Infrastructure Renewal Bond Fund Account - 30660,MISSING_ID,2023,24000000,24000000,"8 The sum of $24,000,000 is hereby appropriated for services and
9 expenses for Feed More Western New York. Funds appropriated herein
10 shall be for, including but not limited to, the acquisition of real
11 property, preparation of plans, design, construction, renovation,
12 administration, and other costs incidental thereto (91962309) ......
13 24,000,000 ....................................... (re. $24,000,000)",1146,8,2025-26,CAP 25-26.pdf,NEW YORK STATE URBAN DEVELOPMENT CORPORATION|MISSING_ID|2023|24000000|24000000|1146
missing_id,,,NEW YORK STATE URBAN DEVELOPMENT CORPORATION,CAPITAL PROJECTS,Capital Projects Fund,Transportation Infrastructure Renewal Bond Fund Account - 30660,MISSING_ID,2023,19000000,19000000,"14 The sum of $19,000,000 is hereby appropriated for services and
15 expenses for the redevelopment of Monument Square in the City of
16 Troy _a_n_d__f_o_r__p_r_o_j_e_c_t_s__t_h_a_t__e_x_p_a_n_d__t_h_e__a_v_a_i_l_a_b_i_l_i_t_y__o_f__h_o_u_s_i_n_g__w_i_t_h_i_n
17 _3_,_0_0_0__f_e_e_t__n_o_r_t_h_,__e_a_s_t_,__a_n_d__s_o_u_t_h__o_f__M_o_n_u_m_e_n_t__S_q_u_a_r_e. Funds appro-
18 priated herein shall be for, including but not limited to, the
19 acquisition of real property, preparation of plans, design,
20 construction, renovation, administration, and other costs incidental
21 thereto (91972309) ... 19,000,000 ................ (re. $19,000,000)",1146,14,2025-26,CAP 25-26.pdf,NEW YORK STATE URBAN DEVELOPMENT CORPORATION|MISSING_ID|2023|19000000|19000000|1146
missing_id,,,NEW YORK STATE URBAN DEVELOPMENT CORPORATION,CAPITAL PROJECTS,Capital Projects Fund,Transportation Infrastructure Renewal Bond Fund Account - 30660,MISSING_ID,2023,7500000,7500000,"22 The sum of $7,500,000 is hereby appropriated for services and expenses
23 for the American Museum of Lesbian Gay Bisexual Transgender History
24 and Culture. Funds appropriated herein shall be for, including but
25 not limited to, the acquisition of real property, preparation of
26 plans, design, construction, renovation, administration, and other
27 costs incidental thereto (91992309) ................................
28 7,500,000 ......................................... (re. $7,500,000)",1146,22,2025-26,CAP 25-26.pdf,NEW YORK STATE URBAN DEVELOPMENT CORPORATION|MISSING_ID|2023|7500000|7500000|1146
missing_id,,,NEW YORK STATE URBAN DEVELOPMENT CORPORATION,CAPITAL PROJECTS,Capital Projects Fund,Transportation Infrastructure Renewal Bond Fund Account - 30660,MISSING_ID,2023,30000000,29910000,"41 The sum of $30,000,000 is hereby appropriated for services and
42 expenses related to the replacement of absorption chillers in the
43 central chiller plant of the state university of New York at Albany.
44 Funds appropriated herein shall be for, including but not limited
45 to, the preparation of plans, design, construction, renovation,
46 acquisition of equipment, administration, and other costs incidental
47 thereto (91922309) ... 30,000,000 ................ (re. $29,910,000)",1146,41,2025-26,CAP 25-26.pdf,NEW YORK STATE URBAN DEVELOPMENT CORPORATION|MISSING_ID|2023|30000000|29910000|1146
