status,match_pass,similarity_score,agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key
discontinued,,,OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10738,2025,350000,0,"21 For services and expenses for Ageless Inno- 22 vation to reduce social isolation (10738) ...... 350,000",12,22,2025-26,ATL 25-26.pdf,OFFICE FOR THE AGING|10738|2025|350000
discontinued,,,OFFICE FOR THE AGING,AID TO LOCALITIES,Special Revenue Funds - Federal,FHHS Aid to Localities Account - 25177,10883,2025,600000,0,"39 Nutrition services incentive program (10890) .. 17,000,000 40 -------------- 41 Program account subtotal ................. 162,644,000 42 -------------- 43 Special Revenue Funds - Federal 44 Federal Miscellaneous Operating Grants Fund 45 Office for the Aging Federal Grants Account - 25300 46 For services and expenses related to the 47 provision of aging services programs 48 (10883) ........................................ 600,000",15,48,2025-26,ATL 25-26.pdf,OFFICE FOR THE AGING|10883|2025|600000
discontinued,,,OFFICE FOR THE AGING,AID TO LOCALITIES,Special Revenue Funds - Federal,Senior Community Service Employment Account - 25444,81034,2025,980000,0,"10 -------------- 11 Program account subtotal ................... 9,000,000 12 -------------- 13 Special Revenue Funds - Other 14 Combined Expendable Trust Fund 15 Aging Grants and Bequest Account - 20196 16 For services and expenses of the state 17 office for the aging (81034) ................... 980,000",16,17,2025-26,ATL 25-26.pdf,OFFICE FOR THE AGING|81034|2025|980000
discontinued,,,DEPARTMENT OF AGRICULTURE AND MARKETS,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,11354,2025,50000,0,"2 Central New York Lyme and Tick Borne Disease 3 Alliance (11354) ................................ 50,000",59,3,2025-26,ATL 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|11354|2025|50000
discontinued,,,DEPARTMENT OF AGRICULTURE AND MARKETS,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Agriculture and Markets Account - 25021,11498,2025,20000000,0,"62 12553-09-5 DEPARTMENT OF AGRICULTURE AND MARKETS AID TO LOCALITIES 2025-26 1 Federal Agriculture and Markets Account - 25021 2 For services and expenses of non-point 3 source pollution control, farmland preser- 4 vation, and other agricultural programs 5 including suballocation to other state 6 departments and agencies including liabil- 7 ities incurred prior to April 1, 2025. 8 Notwithstanding section 51 of the state 9 finance law and any other provision of law 10 to the contrary, the funds appropriated 11 herein may be increased or decreased by 12 transfer from/to appropriations for any 13 prior or subsequent grant period within 14 the same federal fund/program and between 15 state operations and aid to localities to 16 accomplish the intent of this appropri- 17 ation, as long as such corresponding 18 prior/subsequent grant periods within such 19 appropriations have been reappropriated as 20 necessary (11498) ........................... 20,000,000",62,20,2025-26,ATL 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|11498|2025|20000000
discontinued,,,COUNCIL ON THE ARTS,AID TO LOCALITIES,Special Revenue Funds - Other,Gifts to the Arts Account - 23814,12105,2025,500000,0,"10 -------------- 11 Program account subtotal ..................... 300,000 12 -------------- 13 EMPIRE STATE PLAZA PERFORMING ARTS CENTER CORPORATION 14 PROGRAM .................................................... 1,000,000 15 -------------- 16 General Fund 17 Local Assistance Account - 10000 18 For state financial assistance for the 19 empire state plaza performing arts center 20 corporation (12105) ............................ 500,000",98,20,2025-26,ATL 25-26.pdf,COUNCIL ON THE ARTS|12105|2025|500000
discontinued,,,CITY UNIVERSITY OF NEW YORK,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,15496,2025,218048000,0,"108 12553-09-5 CITY UNIVERSITY OF NEW YORK AID TO LOCALITIES 2025-26 1 of the budget, provided that the local 2 sponsor may use funds contained in 3 reserves for excess student revenue for 4 operating support of a community college 5 program even though said expenditures may 6 cause expenses and student revenues to 7 exceed one-third of the college's net 8 operating budget for the college fiscal 9 year 2025-26, provided that such funds do 10 not cause the college's revenue from the 11 local sponsor's contribution in aggregate 12 to be less than the comparable amounts for 13 the previous community college fiscal 14 year, and further provided that pursuant 15 to standards and regulations of the state 16 university trustees and the city universi- 17 ty trustees for the college fiscal year 18 2025-26, community colleges may increase 19 tuition and fees above the amount allow- 20 able under the education law if such stan- 21 dards and regulations require that in 22 order to exceed the tuition limit other- 23 wise set forth in the education law, local 24 sponsor contributions either in the aggre- 25 gate or for each full-time equivalent 26 student shall be no less than the compara- 27 ble amounts for the previous community 28 college fiscal year (15496) ................ 218,048,000",108,28,2025-26,ATL 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15496|2025|218048000
discontinued,,,CITY UNIVERSITY OF NEW YORK,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,15495,2025,5333000,0,"29 For additional operating services and 30 expenses of community colleges pursuant to 31 a plan approved by the director of the 32 budget (15495) ............................... 5,333,000",108,32,2025-26,ATL 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15495|2025|5333000
discontinued,,,CITY UNIVERSITY OF NEW YORK,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,15497,2025,1715000,0,"109 12553-09-5 CITY UNIVERSITY OF NEW YORK AID TO LOCALITIES 2025-26 1 For services and expenses related to the 2 establishment, renovation, alteration, 3 expansion, improvement or operation of 4 child care centers for the benefit of 5 students at the community college campuses 6 of the city university of New York, 7 provided that matching funds of at least 8 35 percent from nonstate sources be made 9 available (15497) ............................ 1,715,000",109,9,2025-26,ATL 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15497|2025|1715000
discontinued,,,CITY UNIVERSITY OF NEW YORK,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,15498,2025,8948000,0,"10 For payment of rental aid (15498) .............. 8,948,000",109,10,2025-26,ATL 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15498|2025|8948000
discontinued,,,CITY UNIVERSITY OF NEW YORK,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,15537,2025,1781000,0,"14 For student financial assistance to expand 15 opportunities in the community colleges of 16 the city university for the educationally 17 and economically disadvantaged in accord- 18 ance with section 6452 of the education 19 law (15537) .................................. 1,781,000",109,19,2025-26,ATL 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15537|2025|1781000
discontinued,,,CITY UNIVERSITY OF NEW YORK,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,15545,2025,2500000,0,"20 For additional student financial assistance 21 to expand opportunities in the community 22 colleges of the city university for the 23 educationally and economically disadvan- 24 taged in accordance with section 6452 of 25 the education law .............................. 108,000 26 For services and expenses of the accelerated 27 study in associates program (15545) .......... 2,500,000",109,27,2025-26,ATL 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15545|2025|2500000
discontinued,,,CITY UNIVERSITY OF NEW YORK,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,15422,2025,1963919400,0,"113 12553-09-5 CITY UNIVERSITY OF NEW YORK AID TO LOCALITIES 2025-26 1 (b) miscellaneous revenue and fees, includ- 2 ing bad debt recoveries and income fund 3 reimbursable cost recoveries; 4 (c) pursuant to section 6221 of the educa- 5 tion law, a representative share of the 6 operating costs of those activities within 7 central administration and university-wide 8 programs which, as determined by the state 9 budget director, relate jointly to the 10 senior colleges and community colleges, 11 and New York city support for associate 12 degree programs at the College of Staten 13 Island and Medgar Evers College and 14 notwithstanding any other provision of 15 law, rule or regulation, New York city 16 support for associate degree programs at 17 New York city college of technology and 18 John Jay college, with such support based 19 on the 2022-23 full-time equivalent (FTE) 20 associate degree enrollments at these 21 campuses and calculated using the New York 22 city contribution per city university 23 community college FTE in the 2022-23 base 24 year, totaling $32,275,000; 25 Items (a) and (b) of the foregoing shall be 26 hereafter referred to as the senior 27 college revenue offset, and item (c) as 28 the central administration and universi- 29 ty-wide programs offset. 30 In no event shall the state support for the 31 operating expenses of the senior college 32 approved programs and services for the 12 33 month period beginning July 1, 2025 exceed 34 2,068,836,400(15422) ..................... 1,963,919,400",113,34,2025-26,ATL 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15422|2025|1963919400
discontinued,,,CITY UNIVERSITY OF NEW YORK,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,15499,2025,3500000,0,"35 For services and expenses of the CUNY school 36 of labor and urban studies (15499) ........... 3,500,000",113,36,2025-26,ATL 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15499|2025|3500000
discontinued,,,CITY UNIVERSITY OF NEW YORK,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,15500,2025,2000000,0,"114 12553-09-5 CITY UNIVERSITY OF NEW YORK AID TO LOCALITIES 2025-26 1 For additional services and expenses related 2 to the expansion of nursing programs ........... 750,000 3 For additional services and expenses of the 4 SEEK program ................................. 1,692,000 5 For additional services and expenses of 6 increasing mental health services .............. 750,000 7 For services and expenses of the CUNY Black 8 Male Initiative ................................ 881,250 9 For services and expenses of the Du Bois 10 Bunche Center for Public Policy at Medgar 11 Evers College .................................. 562,500 12 For services and expenses of the model New 13 York State Senate session project .............. 112,500 14 For services and expenses for the Asian 15 American/Asian Research Institute .............. 262,500 16 For services and expenses of the CUNY Medgar 17 Evers College Dr. John L. Flateau Chair in 18 Election Data Analysis and Research ............ 187,500 19 For services and expenses for the CUNY-spon- 20 sored midwifery program ........................ 375,000 21 For services and expenses of the CUNY Gradu- 22 ate School of Public Health and Health 23 Policy - Sexual and Reproductive Justice 24 Hub ............................................ 375,000 25 For services and expenses of the Carol 26 Robles Roman scholarship fund at John Jay 27 college ........................................ 187,500 28 For services and expenses of the CUNY Mexi- 29 can Studies Institute at Lehman college ...... 1,125,000 30 -------------- 31 CITY UNIVERSITY--SENIOR COLLEGE PENSION PAYMENTS ............. 2,000,000 32 -------------- 33 General Fund 34 Local Assistance Account - 10000 35 For payment of financial assistance to the 36 city of New York for certain costs of 37 retirement incentive programs and other 38 liabilities attributable to employee 39 retirement systems and for special pension 40 payments attributable to employees of the 41 senior colleges of the city university of 42 New York pursuant to chapters 975, 976, 43 and 977 of the laws of 1977, in accordance 44 with section 6231 of the education law and 45 chapter 958 of the laws of 1981, as 46 amended (15500) .............................. 2,000,000",114,46,2025-26,ATL 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15500|2025|2000000
discontinued,,,CITY UNIVERSITY OF NEW YORK,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,15481,2025,11500000,0,"115 12553-09-5 CITY UNIVERSITY OF NEW YORK AID TO LOCALITIES 2025-26 1 METROPOLITAN COMMUTER TRANSPORTATION MOBILITY TAX ........... 11,500,000 2 -------------- 3 General Fund 4 Local Assistance Account - 10000 5 For payment of the metropolitan commuter 6 transportation mobility tax pursuant to 7 article 23 of the tax law for the period 8 July 1, 2025 to June 30, 2026 on behalf of 9 those senior college employees employed in 10 the commuter transportation district. 11 Notwithstanding any other law to the 12 contrary, this appropriation may not be 13 decreased by interchange with any other 14 appropriation (15481) ....................... 11,500,000",115,14,2025-26,ATL 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15481|2025|11500000
discontinued,,,DEPARTMENT OF CIVIL SERVICE,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,16604,2025,9000000,0,"118 12553-09-5 DEPARTMENT OF CIVIL SERVICE AID TO LOCALITIES 2025-26 1 For payment according to the following schedule: 2 APPROPRIATIONS REAPPROPRIATIONS 3 General Fund ....................... 9,000,000 0 4 ---------------- ---------------- 5 All Funds ........................ 9,000,000 0 6 ================ ================ 7 SCHEDULE 8 ADMINISTRATION AND INFORMATION MANAGEMENT PROGRAM ............ 9,000,000 9 -------------- 10 General Fund 11 Local Assistance Account - 10000 12 For payment to public authorities or munici- 13 pal corporations that are eligible to 14 receive reimbursement pursuant to section 15 92-d of the general municipal law for 16 costs of providing sick leave for officers 17 and employees with a qualifying world 18 trade center condition, including the 19 payment of liabilities incurred prior to 20 April 1, 2025. Amounts appropriated herein 21 may be suballocated, pursuant to a plan 22 approved by the division of budget, to the 23 department of civil service state oper- 24 ations for appropriate administrative 25 costs (16604) ................................ 9,000,000",118,25,2025-26,ATL 25-26.pdf,DEPARTMENT OF CIVIL SERVICE|16604|2025|9000000
discontinued,,,DIVISION OF CRIMINAL JUSTICE SERVICES,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,20244,2025,4212000,0,"35 For grants to counties for district attorney 36 salaries. Notwithstanding the provisions 37 of subdivisions 10 and 11 of section 700 38 of the county law or any other law to the 39 contrary, for state fiscal year 2025-26 40 the state reimbursement to counties for 41 district attorney salaries shall be 42 distributed according to a plan developed 43 by the commissioner of criminal justice 44 services, and approved by the director of 45 the budget (20244) ........................... 4,212,000",130,45,2025-26,ATL 25-26.pdf,DIVISION OF CRIMINAL JUSTICE SERVICES|20244|2025|4212000
discontinued,,,DIVISION OF CRIMINAL JUSTICE SERVICES,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,20205,2025,6273000,0,"6 For payment of state aid for expenses of 7 crime laboratories for accreditation, 8 training, capacity enhancement and lab 9 related services to maintain the quality 10 and reliability of forensic services to 11 criminal justice agencies, to be distrib- 12 uted pursuant to a plan prepared by the 13 commissioner of the division of criminal 14 justice services and approved by the 15 director of the budget. Some of these 16 funds herein appropriated may be trans- 17 ferred to state operations and may be 18 suballocated to other state agencies 19 (20205) ...................................... 6,273,000",131,19,2025-26,ATL 25-26.pdf,DIVISION OF CRIMINAL JUSTICE SERVICES|20205|2025|6273000
discontinued,,,DIVISION OF CRIMINAL JUSTICE SERVICES,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21038,2025,44876000,0,"5 For services and expenses of the statewide 6 targeted reductions in intimate partner 7 violence initiative and related efforts to 8 reduce domestic violence and non-domestic 9 sexual assaults as allocated pursuant to a 10 plan prepared by the commissioner of crim- 11 inal justice services and approved by the 12 director of the budget. These funds may be 13 transferred to state operations or subal- 14 located to other state agencies ............. 38,170,000 15 For payment of state aid to counties and the 16 city of New York for the operation of 17 local probation departments subject to the 18 approval of the director of the budget. 19 Notwithstanding any other provisions of law, 20 the state aid for probationary services to 21 counties and the city of New York shall be 22 distributed to counties and the city of 23 New York pursuant to a plan prepared by 24 the commissioner of the division of crimi- 25 nal justice services and approved by the 26 director of the budget which shall be to 27 the greatest extent possible, distributed 28 in a manner consistent with the prior year 29 distribution amounts (21038) ................ 44,876,000",132,29,2025-26,ATL 25-26.pdf,DIVISION OF CRIMINAL JUSTICE SERVICES|21038|2025|44876000
discontinued,,,DIVISION OF CRIMINAL JUSTICE SERVICES,AID TO LOCALITIES,Special Revenue Funds - Other,Medical Cannabis Law Enforcement Account - 23753,20246,2025,7658000,0,"6 For defense services to be distributed in 7 the same manner as the prior year or 8 through a competitive process. The funds 9 hereby appropriated are to be available 10 for payment of liabilities heretofore 11 accrued or hereafter accrued (20246) ......... 7,658,000",148,11,2025-26,ATL 25-26.pdf,DIVISION OF CRIMINAL JUSTICE SERVICES|20246|2025|7658000
discontinued,,,DIVISION OF CRIMINAL JUSTICE SERVICES,AID TO LOCALITIES,Special Revenue Funds - Other,Medical Cannabis Law Enforcement Account - 23753,20235,2025,100000,0,"33 -------------- 34 Program account subtotal ................... 2,000,000 35 -------------- 36 Special Revenue Funds - Other 37 Miscellaneous Special Revenue Fund 38 Drug Enforcement Task Force Account - 22102 39 For distribution to the state's political 40 subdivisions and for services and expenses 41 of the drug enforcement task forces. Some 42 of these funds may be transferred to state 43 operations appropriations (20235) .............. 100,000",148,43,2025-26,ATL 25-26.pdf,DIVISION OF CRIMINAL JUSTICE SERVICES|20235|2025|100000
discontinued,,,DIVISION OF CRIMINAL JUSTICE SERVICES,AID TO LOCALITIES,Special Revenue Funds - Other,Legal Services Assistance Account - 22096,20241,2025,12549000,0,"149 12553-09-5 DIVISION OF CRIMINAL JUSTICE SERVICES AID TO LOCALITIES 2025-26 1 Miscellaneous Special Revenue Fund 2 Legal Services Assistance Account - 22096 3 For prosecutorial services of counties, to 4 be distributed pursuant to a plan prepared 5 by the commissioner of the division of 6 criminal justice services and approved by 7 the director of the budget. The funds 8 hereby appropriated are to be available 9 for payment of liabilities heretofore 10 accrued or hereafter accrued (20241) ........ 12,549,000",149,10,2025-26,ATL 25-26.pdf,DIVISION OF CRIMINAL JUSTICE SERVICES|20241|2025|12549000
discontinued,,,EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,23462,2025,750000,0,"22 For additional services and expenses of 23 independent living centers (23462) ............. 750,000",264,23,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23462|2025|750000
discontinued,,,EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,56145,2025,500000,0,"5 For additional competitive grants for adult 6 literacy/education aid (56145) ................. 500,000",265,6,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|56145|2025|500000
discontinued,,,EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21847,2025,1725000,0,"12 For additional aid to public libraries 13 (21847) ...................................... 1,725,000",266,13,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|21847|2025|1725000
discontinued,,,EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Operating Grants Account - 25456,23373,2025,100000,0,"20 -------------- 21 Program account subtotal ................... 5,400,000 22 -------------- 23 Special Revenue Funds - Other 24 Miscellaneous Special Revenue Fund 25 Love Your Library Account - 22119 26 For services and expenses of the statewide 27 summer reading program pursuant to subdi- 28 vision 9 of section 273 of the education 29 law and section 99-l of the state finance 30 law, as added by chapter 303 of the laws 31 of 2004, pursuant to a plan developed by 32 the commissioner of education and approved 33 by the director of the budget (23373) .......... 100,000",267,33,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23373|2025|100000
discontinued,,,EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21842,2025,1476000,0,"19 For additional liberty partnerships program 20 awards (21842) ............................... 1,476,000",268,20,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|21842|2025|1476000
discontinued,,,EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21831,2025,16332000,0,"21 Unrestricted aid to independent colleges and 22 universities, notwithstanding any other 23 provision of law to the contrary, aid 24 otherwise due and payable in the 2025-26 25 fiscal year shall be limited to the amount 26 appropriated herein; provided that no 27 college or university shall be eligible 28 for a payment in the 2025-26 academic year 29 from this appropriation if the college or 30 university has not submitted to the state 31 education department a plan to improve 32 faculty diversity, which shall include 33 measurable goals and a schedule of report- 34 ing on progress toward meeting such goals. 35 Provided further, notwithstanding any other 36 provision of law to the contrary, no 37 college or university shall be eligible 38 for a payment in the 2025-26 academic year 39 from this appropriation if the college or 40 university has total endowment assets in 41 excess of $750,000,000, based on the most 42 recent academic year data collected in the 43 Integrated Postsecondary Education Data 44 System, as required under Title IV of the 45 Higher Education Act of 1965, as amended, 46 and reported by the Department of 47 Education's National Center for Education 48 Statistics (21831) .......................... 16,332,000",268,48,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|21831|2025|16332000
discontinued,,,EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21843,2025,2856000,0,"10 For additional higher education opportunity 11 program awards (21843) ....................... 2,856,000",269,11,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|21843|2025|2856000
discontinued,,,EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,23437,2025,1272000,0,"19 For additional science and technology entry 20 program (STEP) awards (23437) ................ 1,272,000",269,20,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23437|2025|1272000
discontinued,,,EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21836,2025,964000,0,"23 For additional collegiate science and tech- 24 nology entry program (CSTEP) awards; 25 notwithstanding any other law to the 26 contrary, such funds shall be used to 27 increase funding for existing CSTEP 28 programs (21836) ............................... 964,000",269,28,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|21836|2025|964000
discontinued,,,EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21837,2025,450000,0,"29 For teacher opportunity corps program awards 30 (21837) ........................................ 450,000",269,30,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|21837|2025|450000
discontinued,,,EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,55941,2025,483000,0,"12 For additional services and expenses of a 13 foster youth initiative (55941) ................ 483,000",270,13,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|55941|2025|483000
discontinued,,,EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23394,2025,2000000,0,"27 For additional support for enhancing 28 supports and services for students with 29 disabilities enrolled in New York State 30 degree granting colleges and universities 31 (23394) ...................................... 2,000,000",270,31,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23394|2025|2000000
discontinued,,,EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23379,2025,350000,0,"32 For services and expenses of Latino U 33 College Access (LUCA)(23379) ................... 350,000",270,33,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23379|2025|350000
