agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21831,2025,16332000,0,"21 Unrestricted aid to independent colleges and 22 universities, notwithstanding any other 23 provision of law to the contrary, aid 24 otherwise due and payable in the 2025-26 25 fiscal year shall be limited to the amount 26 appropriated herein; provided that no 27 college or university shall be eligible 28 for a payment in the 2025-26 academic year 29 from this appropriation if the college or 30 university has not submitted to the state 31 education department a plan to improve 32 faculty diversity, which shall include 33 measurable goals and a schedule of report- 34 ing on progress toward meeting such goals. 35 Provided further, notwithstanding any other 36 provision of law to the contrary, no 37 college or university shall be eligible 38 for a payment in the 2025-26 academic year 39 from this appropriation if the college or 40 university has total endowment assets in 41 excess of $750,000,000, based on the most 42 recent academic year data collected in the 43 Integrated Postsecondary Education Data 44 System, as required under Title IV of the 45 Higher Education Act of 1965, as amended, 46 and reported by the Department of 47 Education's National Center for Education 48 Statistics (21831) .......................... 16,332,000",268,48,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|21831|2025|16332000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21843,2025,2856000,0,"10 For additional higher education opportunity 11 program awards (21843) ....................... 2,856,000",269,11,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|21843|2025|2856000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,23437,2025,1272000,0,"19 For additional science and technology entry 20 program (STEP) awards (23437) ................ 1,272,000",269,20,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23437|2025|1272000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21836,2025,964000,0,"23 For additional collegiate science and tech- 24 nology entry program (CSTEP) awards; 25 notwithstanding any other law to the 26 contrary, such funds shall be used to 27 increase funding for existing CSTEP 28 programs (21836) ............................... 964,000",269,28,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|21836|2025|964000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,55941,2025,483000,0,"12 For additional services and expenses of a 13 foster youth initiative (55941) ................ 483,000",270,13,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|55941|2025|483000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23394,2025,2000000,0,"27 For additional support for enhancing 28 supports and services for students with 29 disabilities enrolled in New York State 30 degree granting colleges and universities 31 (23394) ...................................... 2,000,000",270,31,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23394|2025|2000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23379,2025,350000,0,"32 For services and expenses of Latino U 33 College Access (LUCA)(23379) ................... 350,000",270,33,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23379|2025|350000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23380,2025,750000,0,"34 For services and expenses of the Associated 35 Medical Schools of New York for the Dental 36 Grants Program. Funds appropriated herein 37 shall be available for teaching students 38 to work with individuals with disabilities 39 (23380) ........................................ 750,000",270,39,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23380|2025|750000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23382,2025,200000,0,"40 For services and expenses of On Point for 41 College, Inc (23382) ........................... 200,000",270,41,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23382|2025|200000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Grants Account - 20191,21701,2025,20381717000,0,"275 12553-09-5 EDUCATION DEPARTMENT AID TO LOCALITIES 2025-26 1 the base year that was attributable to 2 cooperative services agreements (CO-SERs) 3 for career education, as determined by the 4 commissioner of education, and shall be 5 required to use such amount to support 6 career education programs in the current 7 year. 8 Provided further that, notwithstanding any 9 inconsistent provision of law, subject to 10 the approval of the director of the budg- 11 et, funds appropriated herein may be 12 interchanged with any other item of appro- 13 priation for general support for public 14 schools within the general fund local 15 assistance account office of prekindergar- 16 ten through grade 12 education program. 17 Notwithstanding any other law, rule or regu- 18 lation to the contrary, funds appropriated 19 herein shall be available for payment of 20 financial assistance net of any disallow- 21 ances, refunds, reimbursement and credits, 22 and may be suballocated to other depart- 23 ments and agencies to accomplish the 24 intent of this appropriation subject to 25 the approval of the director of the budg- 26 et. Notwithstanding any provision of law 27 to the contrary, funds appropriated herein 28 shall be available for payment of liabil- 29 ities heretofore accrued or hereafter to 30 accrue (21701) .......................... 20,381,717,000",275,30,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|21701|2025|20381717000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Grants Account - 20191,21882,2025,10518682000,0,"276 12553-09-5 EDUCATION DEPARTMENT AID TO LOCALITIES 2025-26 1 et. Notwithstanding any provision of law 2 to the contrary, funds appropriated herein 3 shall be available for payment of liabil- 4 ities heretofore accrued or hereafter to 5 accrue (21882) .......................... 10,518,682,000",276,5,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|21882|2025|10518682000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Grants Account - 20191,21746,2025,25883000,0,"6 Funds appropriated herein shall be available 7 for reimbursement for the education of 8 homeless children and youth for the 2025- 9 26 school year pursuant to section 3209 of 10 the education law, including reimbursement 11 for expenditures for the transportation of 12 homeless children pursuant to paragraph b 13 of subdivision 4 of section 3209 of the 14 education law, up to the amount of the 15 approved costs of the most cost-effective 16 mode of transportation, in accordance with 17 a plan prepared by the commissioner of 18 education and approved by the director of 19 the budget provided that in the 2025-26 20 state fiscal year the sum of $30,000 may 21 be transferred to the credit of the state 22 purposes account of the state education 23 department to carry out the purposes of 24 such section relating to reimbursement of 25 youth shelters transporting such pupils 26 and provided further that, notwithstanding 27 any inconsistent provision of law, subject 28 to the approval of the director of the 29 budget, funds appropriated herein may be 30 interchanged with any other item of appro- 31 priation for general support for public 32 schools within the general fund local 33 assistance account office of prekindergar- 34 ten through grade twelve education 35 program. 36 Notwithstanding any other law, rule or regu- 37 lation to the contrary, funds appropriated 38 herein shall be available for payment of 39 financial assistance net of any disallow- 40 ances, refunds, reimbursement and credits, 41 and may be suballocated to other depart- 42 ments and agencies to accomplish the 43 intent of this appropriation subject to 44 the approval of the director of the budg- 45 et. Notwithstanding any provision of law 46 to the contrary, funds appropriated herein 47 shall be available for payment of liabil- 48 ities heretofore accrued or hereafter to 49 accrue (21746) .............................. 25,883,000",276,49,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|21746|2025|25883000
